I0,I1,I2,I3,I4,I5,I6,I7,I8
95.696999,0.000000,0.000000,5.210000,0.000000,0.000000,0.000000,0.000000,0.000000
95.702003,0.000000,0.000000,5.210000,0.000000,0.000000,0.000000,0.000000,0.000000
95.707001,0.000000,0.000000,5.210000,0.000000,0.000000,0.000000,0.000000,0.000000
95.711998,0.000000,0.000000,5.210000,0.000000,0.000000,0.000000,0.000000,0.000000
95.717003,0.000000,0.000000,5.210000,0.000000,0.000000,0.000000,0.000000,0.000000
95.722000,0.000000,0.000000,5.220000,0.000000,0.000000,0.000000,0.000000,0.000000
95.726997,0.000000,0.000000,5.230000,0.000000,0.000000,0.000000,0.000000,0.000000
95.732002,0.000000,0.000000,5.220000,0.000000,0.000000,0.000000,0.000000,0.000000
95.737000,0.000000,0.000000,5.220000,0.000000,0.000000,0.000000,0.000000,0.000000
95.741997,0.000000,0.000000,5.220000,0.000000,0.000000,0.000000,0.000000,0.000000
95.747002,0.000000,0.000000,5.210000,0.000000,0.000000,0.000000,0.000000,0.000000
95.751999,0.000000,0.000000,5.210000,0.000000,0.000000,0.000000,0.000000,0.000000
95.757004,0.000000,0.000000,5.200000,0.000000,0.000000,0.000000,0.000000,0.000000
95.762001,0.000000,0.000000,5.190000,0.000000,0.000000,0.000000,0.000000,0.000000
95.766998,0.000000,0.000000,5.190000,0.000000,0.000000,0.000000,0.000000,0.000000
95.772003,0.000000,0.000000,5.180000,0.000000,0.000000,0.000000,0.000000,0.000000
95.777000,0.000000,0.000000,5.170000,0.000000,0.000000,0.000000,0.000000,0.000000
95.781998,0.000000,0.000000,5.170000,0.000000,0.000000,0.000000,0.000000,0.000000
95.787003,0.000000,0.000000,5.160000,0.000000,0.000000,0.000000,0.000000,0.000000
95.792000,0.000000,0.000000,5.150000,0.000000,0.000000,0.000000,0.000000,0.000000
95.796997,0.000000,0.000000,5.140000,0.000000,0.000000,0.000000,0.000000,0.000000
95.802002,0.000000,0.000000,5.140000,0.000000,0.000000,0.000000,0.000000,0.000000
95.806999,0.000000,0.000000,5.130000,0.000000,0.000000,0.000000,0.000000,0.000000
95.811996,0.000000,0.000000,5.130000,0.000000,0.000000,0.000000,0.000000,0.000000
95.817001,0.000000,0.000000,5.130000,0.000000,0.000000,0.000000,0.000000,0.000000
95.821999,0.000000,0.000000,5.120000,0.000000,0.000000,0.000000,0.000000,0.000000
95.827003,0.000000,0.000000,5.120000,0.000000,0.000000,0.000000,0.000000,0.000000
95.832001,0.000000,0.000000,5.120000,0.000000,0.000000,0.000000,0.000000,0.000000
95.836998,0.000000,0.000000,5.120000,0.000000,0.000000,0.000000,0.000000,0.000000
95.842003,0.000000,0.000000,5.110000,0.000000,0.000000,0.000000,0.000000,0.000000
95.847000,0.000000,0.000000,5.110000,0.000000,0.000000,0.000000,0.000000,0.000000
95.851997,0.000000,0.000000,5.110000,0.000000,0.000000,0.000000,0.000000,0.000000
95.857002,0.000000,0.000000,5.090000,0.000000,0.000000,0.000000,0.000000,0.000000
95.862000,0.000000,0.000000,5.090000,0.000000,0.000000,0.000000,0.000000,0.000000
95.866997,0.000000,0.000000,5.080000,0.000000,0.000000,0.000000,0.000000,0.000000
95.872002,0.000000,0.000000,5.080000,0.000000,0.000000,0.000000,0.000000,0.000000
95.876999,0.000000,0.000000,5.080000,0.000000,0.000000,0.000000,0.000000,0.000000
95.882004,0.000000,0.000000,5.080000,0.000000,0.000000,0.000000,0.000000,0.000000
95.887001,0.000000,0.000000,5.080000,0.000000,0.000000,0.000000,0.000000,0.000000
95.891998,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
95.897003,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
95.902000,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
95.906998,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
95.912003,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
95.917000,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
95.921997,0.000000,0.000000,5.060000,0.000000,0.000000,0.000000,0.000000,0.000000
95.927002,0.000000,0.000000,5.060000,0.000000,0.000000,0.000000,0.000000,0.000000
95.931999,0.000000,0.000000,5.060000,0.000000,0.000000,0.000000,0.000000,0.000000
95.936996,0.000000,0.000000,5.050000,0.000000,0.000000,0.000000,0.000000,0.000000
95.942001,0.000000,0.000000,5.050000,0.000000,0.000000,0.000000,0.000000,0.000000
95.946999,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,0.000000,0.000000
95.952003,0.000000,0.000000,5.030000,0.000000,0.000000,0.000000,0.000000,0.000000
95.957001,0.000000,0.000000,5.020000,0.000000,0.000000,0.000000,0.000000,0.000000
95.961998,0.000000,0.000000,5.010000,0.000000,0.000000,0.000000,0.000000,0.000000
95.967003,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95.972000,0.000000,0.000000,4.990000,0.000000,0.000000,0.000000,0.000000,0.000000
95.976997,0.000000,0.000000,4.980000,0.000000,0.000000,0.000000,0.000000,0.000000
95.982002,0.000000,0.000000,4.970000,0.000000,0.000000,0.000000,0.000000,0.000000
95.987000,0.000000,0.000000,4.960000,0.000000,0.000000,0.000000,0.000000,0.000000
95.991997,0.000000,0.000000,4.950000,0.000000,0.000000,0.000000,0.000000,0.000000
95.997002,0.000000,0.000000,4.940000,0.000000,0.000000,0.000000,0.000000,0.000000
96.001999,0.000000,0.000000,4.940000,0.000000,0.000000,0.000000,0.000000,0.000000
96.007004,0.000000,0.000000,4.930000,0.000000,0.000000,0.000000,0.000000,0.000000
96.012001,0.000000,0.000000,4.930000,0.000000,0.000000,0.000000,0.000000,0.000000
96.016998,0.000000,0.000000,4.920000,0.000000,0.000000,0.000000,0.000000,0.000000
96.022003,0.000000,0.000000,4.920000,0.000000,0.000000,0.000000,0.000000,0.000000
96.027000,0.000000,0.000000,4.920000,0.000000,0.000000,0.000000,0.000000,0.000000
96.031998,0.000000,0.000000,4.920000,0.000000,0.000000,0.000000,0.000000,0.000000
96.037003,0.000000,0.000000,4.920000,0.000000,0.000000,0.000000,0.000000,0.000000
96.042000,0.000000,0.000000,4.920000,0.000000,0.000000,0.000000,0.000000,0.000000
96.046997,0.000000,0.000000,4.920000,0.000000,0.000000,0.000000,0.000000,0.000000
96.052002,0.000000,0.000000,4.930000,0.000000,0.000000,0.000000,0.000000,0.000000
96.056999,0.000000,0.000000,4.930000,0.000000,0.000000,0.000000,0.000000,0.000000
96.061996,0.000000,0.000000,4.940000,0.000000,0.000000,0.000000,0.000000,0.000000
96.067001,0.000000,0.000000,4.940000,0.000000,0.000000,0.000000,0.000000,0.000000
96.071999,0.000000,0.000000,4.950000,0.000000,0.000000,0.000000,0.000000,0.000000
96.077003,0.000000,0.000000,4.960000,0.000000,0.000000,0.000000,0.000000,0.000000
96.082001,0.000000,0.000000,4.960000,0.000000,0.000000,0.000000,0.000000,0.000000
96.086998,0.000000,0.000000,4.970000,0.000000,0.000000,0.000000,0.000000,0.000000
96.092003,0.000000,0.000000,4.970000,0.000000,0.000000,0.000000,0.000000,0.000000
96.097000,0.000000,0.000000,4.970000,0.000000,0.000000,0.000000,0.000000,0.000000
96.101997,0.000000,0.000000,4.970000,0.000000,0.000000,0.000000,0.000000,0.000000
96.107002,0.000000,0.000000,4.980000,0.000000,0.000000,0.000000,0.000000,0.000000
96.112000,0.000000,0.000000,4.980000,0.000000,0.000000,0.000000,0.000000,0.000000
96.116997,0.000000,0.000000,4.990000,0.000000,0.000000,0.000000,0.000000,0.000000
96.122002,0.000000,0.000000,4.990000,0.000000,0.000000,0.000000,0.000000,0.000000
96.126999,0.000000,0.000000,4.990000,0.000000,0.000000,0.000000,0.000000,0.000000
96.132004,0.000000,0.000000,4.990000,0.000000,0.000000,0.000000,0.000000,0.000000
96.137001,0.000000,0.000000,4.990000,0.000000,0.000000,0.000000,0.000000,0.000000
96.141998,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.147003,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.152000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.156998,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96.162003,0.000000,0.000000,5.010000,0.000000,0.000000,0.000000,0.000000,0.000000
96.167000,0.000000,0.000000,5.020000,0.000000,0.000000,0.000000,0.000000,0.000000
96.171997,0.000000,0.000000,5.020000,0.000000,0.000000,0.000000,0.000000,0.000000
96.177002,0.000000,0.000000,5.020000,0.000000,0.000000,0.000000,0.000000,0.000000
96.181999,0.000000,0.000000,5.030000,0.000000,0.000000,0.000000,0.000000,0.000000
96.186996,0.000000,0.000000,5.030000,0.000000,0.000000,0.000000,0.000000,0.000000
96.192001,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,0.000000,0.000000
96.196999,0.000000,0.000000,5.050000,0.000000,0.000000,0.000000,0.000000,0.000000
96.202003,0.000000,0.000000,5.060000,0.000000,0.000000,0.000000,0.000000,0.000000
96.207001,0.000000,0.000000,5.060000,0.000000,0.000000,0.000000,0.000000,0.000000
96.211998,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
96.217003,0.000000,0.000000,5.080000,0.000000,0.000000,0.000000,0.000000,0.000000
96.222000,0.000000,0.000000,5.090000,0.000000,0.000000,0.000000,0.000000,0.000000
96.226997,0.000000,0.000000,5.090000,0.000000,0.000000,0.000000,0.000000,0.000000
96.232002,0.000000,0.000000,5.090000,0.000000,0.000000,0.000000,0.000000,0.000000
96.237000,0.000000,0.000000,5.090000,0.000000,0.000000,0.000000,0.000000,0.000000
96.241997,0.000000,0.000000,5.100000,0.000000,0.000000,0.000000,0.000000,0.000000
96.247002,0.000000,0.000000,5.090000,0.000000,0.000000,0.000000,0.000000,0.000000
96.251999,0.000000,0.000000,5.090000,0.000000,0.000000,0.000000,0.000000,0.000000
96.257004,0.000000,0.000000,5.080000,0.000000,0.000000,0.000000,0.000000,0.000000
96.262001,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
96.266998,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
96.272003,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
96.277000,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
96.281998,0.000000,0.000000,5.060000,0.000000,0.000000,0.000000,0.000000,0.000000
96.287003,0.000000,0.000000,5.060000,0.000000,0.000000,0.000000,0.000000,0.000000
96.292000,0.000000,0.000000,5.060000,0.000000,0.000000,0.000000,0.000000,0.000000
96.296997,0.000000,0.000000,5.060000,0.000000,0.000000,0.000000,0.000000,0.000000
96.302002,0.000000,0.000000,5.060000,0.000000,0.000000,0.000000,0.000000,0.000000
96.306999,0.000000,0.000000,5.060000,0.000000,0.000000,0.000000,0.000000,0.000000
96.311996,0.000000,0.000000,5.070000,0.000000,0.000000,0.000000,0.000000,0.000000
