I0,I1,I2,I3,I4,I5,I6,I7,I8
3301.481934,79.000000,79.000000,2.140000,0.000000,0.000000,0.000000,1.740000,1.000000
3301.487061,110.000000,110.000000,2.060000,0.000000,0.000000,0.000000,1.740000,1.000000
3301.491943,20.000000,20.000000,2.100000,0.000000,2.000000,0.000000,1.740000,1.000000
3301.497070,-9.000000,-9.000000,2.160000,0.000000,2.000000,0.000000,1.740000,1.000000
3301.501953,-26.000000,-26.000000,2.160000,0.000000,2.000000,0.000000,2.480000,1.000000
3301.507080,-10.000000,-10.000000,2.040000,0.000000,2.000000,0.000000,2.480000,1.000000
3301.511963,66.000000,66.000000,2.040000,2.000000,0.000000,0.000000,2.480000,1.000000
3301.517090,57.000000,57.000000,2.100000,2.000000,0.000000,0.000000,2.480000,1.000000
3301.521973,40.000000,40.000000,1.980000,2.000000,2.000000,0.000000,2.480000,1.000000
3301.527100,60.000000,60.000000,1.870000,2.000000,2.000000,0.000000,2.480000,1.000000
3301.531982,56.000000,56.000000,2.030000,0.000000,2.000000,0.000000,3.230000,1.000000
3301.537109,-1.000000,-1.000000,2.100000,0.000000,2.000000,0.000000,3.230000,1.000000
3301.541992,25.000000,25.000000,2.120000,2.000000,2.000000,0.000000,2.490000,1.000000
3301.547119,44.000000,44.000000,2.010000,2.000000,2.000000,0.000000,2.490000,1.000000
3301.552002,10.000000,10.000000,2.080000,2.000000,2.000000,0.000000,3.230000,1.000000
3301.556885,-24.000000,-24.000000,2.210000,2.000000,2.000000,0.000000,3.230000,1.000000
3301.562012,-8.000000,-8.000000,2.300000,2.000000,2.000000,0.000000,3.240000,1.000000
3301.566895,-1.000000,-1.000000,2.310000,2.000000,2.000000,0.000000,3.240000,1.000000
3301.572021,30.000000,30.000000,2.240000,2.000000,0.000000,0.000000,3.240000,1.000000
3301.576904,72.000000,72.000000,2.220000,2.000000,0.000000,0.000000,3.240000,1.000000
3301.582031,77.000000,77.000000,2.270000,0.000000,0.000000,0.000000,2.500000,1.000000
3301.586914,62.000000,62.000000,2.260000,0.000000,0.000000,0.000000,2.500000,1.000000
3301.592041,7.000000,7.000000,2.320000,0.000000,2.000000,0.000000,1.760000,1.000000
3301.596924,8.000000,8.000000,2.320000,0.000000,2.000000,0.000000,1.760000,1.000000
3301.602051,-34.000000,-34.000000,2.290000,0.000000,0.000000,0.000000,2.510000,1.000000
3301.606934,-19.000000,-19.000000,2.280000,0.000000,0.000000,0.000000,2.510000,1.000000
3301.612061,40.000000,40.000000,2.280000,2.000000,0.000000,0.000000,1.760000,1.000000
3301.616943,43.000000,43.000000,2.280000,2.000000,0.000000,0.000000,1.760000,1.000000
3301.622070,2.000000,2.000000,2.200000,2.000000,2.000000,0.000000,2.510000,1.000000
3301.626953,19.000000,19.000000,2.100000,2.000000,2.000000,0.000000,2.510000,1.000000
3301.632080,66.000000,66.000000,2.210000,0.000000,2.000000,0.000000,3.250000,1.000000
3301.636963,34.000000,34.000000,2.260000,0.000000,2.000000,0.000000,3.250000,1.000000
3301.642090,78.000000,78.000000,2.110000,2.000000,2.000000,0.000000,2.510000,1.000000
3301.646973,115.000000,115.000000,2.000000,2.000000,2.000000,0.000000,2.510000,1.000000
3301.652100,60.000000,60.000000,2.170000,2.000000,2.000000,0.000000,3.260000,1.000000
3301.656982,-7.000000,-7.000000,2.230000,2.000000,2.000000,0.000000,3.260000,1.000000
3301.662109,17.000000,17.000000,2.290000,2.000000,2.000000,0.000000,3.260000,1.000000
3301.666992,31.000000,31.000000,2.230000,2.000000,2.000000,0.000000,3.260000,1.000000
3301.672119,50.000000,50.000000,2.280000,2.000000,0.000000,0.000000,3.270000,1.000000
3301.677002,33.000000,33.000000,2.390000,2.000000,0.000000,0.000000,3.270000,1.000000
3301.681885,-1.000000,-1.000000,2.420000,2.000000,4.000000,0.000000,2.530000,1.000000
3301.687012,2.000000,2.000000,2.350000,2.000000,4.000000,0.000000,2.530000,1.000000
3301.691895,-34.000000,-34.000000,2.440000,2.000000,2.000000,0.000000,4.020000,1.000000
3301.697021,-46.000000,-46.000000,2.550000,2.000000,2.000000,0.000000,4.020000,1.000000
3301.701904,39.000000,39.000000,2.590000,2.000000,0.000000,0.000000,3.280000,1.000000
3301.707031,53.000000,53.000000,2.700000,2.000000,0.000000,0.000000,3.280000,1.000000
3301.711914,32.000000,32.000000,2.610000,0.000000,0.000000,0.000000,2.540000,1.000000
3301.717041,83.000000,83.000000,2.510000,0.000000,0.000000,0.000000,2.540000,1.000000
3301.721924,77.000000,77.000000,2.460000,0.000000,2.000000,0.000000,1.800000,1.000000
3301.727051,84.000000,84.000000,2.390000,0.000000,2.000000,0.000000,1.800000,1.000000
3301.731934,16.000000,16.000000,2.490000,0.000000,0.000000,0.000000,2.540000,1.000000
3301.737061,-4.000000,-4.000000,2.460000,0.000000,0.000000,0.000000,2.540000,1.000000
3301.741943,62.000000,62.000000,2.330000,0.000000,0.000000,0.000000,1.800000,1.000000
3301.747070,98.000000,98.000000,2.270000,0.000000,0.000000,0.000000,1.800000,1.000000
3301.751953,52.000000,52.000000,2.280000,0.000000,2.000000,0.000000,1.800000,1.000000
3301.757080,35.000000,35.000000,2.280000,0.000000,2.000000,0.000000,1.800000,1.000000
3301.761963,36.000000,36.000000,2.150000,2.000000,2.000000,0.000000,2.540000,1.000000
3301.767090,65.000000,65.000000,1.990000,2.000000,2.000000,0.000000,2.540000,1.000000
3301.771973,118.000000,118.000000,2.100000,2.000000,2.000000,0.000000,3.290000,1.000000
3301.777100,71.000000,71.000000,2.140000,2.000000,2.000000,0.000000,3.290000,1.000000
3301.781982,103.000000,103.000000,1.920000,2.000000,2.000000,0.000000,3.290000,1.000000
3301.787109,140.000000,140.000000,1.790000,2.000000,2.000000,0.000000,3.290000,1.000000
3301.791992,134.000000,134.000000,1.920000,2.000000,2.000000,0.000000,3.300000,1.000000
3301.797119,52.000000,52.000000,1.990000,2.000000,2.000000,0.000000,3.300000,1.000000
3301.802002,-3.000000,-3.000000,2.090000,6.000000,4.000000,0.000000,3.300000,1.000000
3301.806885,0.000000,0.000000,1.980000,6.000000,4.000000,0.000000,3.300000,1.000000
3301.812012,11.000000,11.000000,2.040000,4.000000,2.000000,0.000000,5.530000,1.000000
3301.816895,-5.000000,-5.000000,2.180000,4.000000,2.000000,0.000000,5.530000,1.000000
3301.822021,93.000000,93.000000,2.320000,4.000000,4.000000,0.000000,4.060000,1.000000
3301.826904,65.000000,65.000000,2.510000,4.000000,4.000000,0.000000,4.060000,1.000000
3301.832031,-37.000000,-37.000000,2.620000,2.000000,2.000000,0.000000,4.810000,1.000000
3301.836914,-11.000000,-11.000000,2.590000,2.000000,2.000000,0.000000,4.810000,1.000000
3301.842041,89.000000,89.000000,2.590000,2.000000,2.000000,0.000000,3.330000,1.000000
3301.846924,125.000000,125.000000,2.650000,2.000000,2.000000,0.000000,3.330000,1.000000
3301.852051,43.000000,43.000000,2.610000,2.000000,2.000000,0.000000,3.330000,1.000000
3301.856934,81.000000,81.000000,2.580000,2.000000,2.000000,0.000000,3.330000,1.000000
3301.862061,118.000000,118.000000,2.440000,2.000000,2.000000,0.000000,3.340000,1.000000
3301.866943,144.000000,144.000000,2.320000,2.000000,2.000000,0.000000,3.340000,1.000000
3301.872070,135.000000,135.000000,2.440000,2.000000,0.000000,0.000000,3.340000,1.000000
3301.876953,97.000000,97.000000,2.450000,2.000000,0.000000,0.000000,3.340000,1.000000
3301.882080,97.000000,97.000000,2.110000,4.000000,4.000000,0.000000,2.600000,1.000000
3301.886963,150.000000,150.000000,2.000000,4.000000,4.000000,0.000000,2.600000,1.000000
3301.892090,69.000000,69.000000,2.210000,2.000000,4.000000,0.000000,4.830000,1.000000
3301.896973,-46.000000,-46.000000,2.290000,2.000000,4.000000,0.000000,4.830000,1.000000
3301.902100,58.000000,58.000000,2.430000,4.000000,2.000000,0.000000,4.100000,1.000000
3301.906982,57.000000,57.000000,2.470000,4.000000,2.000000,0.000000,4.100000,1.000000
3301.912109,15.000000,15.000000,2.500000,4.000000,4.000000,0.000000,4.100000,1.000000
3301.916992,34.000000,34.000000,2.540000,4.000000,4.000000,0.000000,4.100000,1.000000
3301.922119,33.000000,33.000000,2.580000,2.000000,4.000000,0.000000,4.850000,1.000000
3301.927002,27.000000,27.000000,2.640000,2.000000,4.000000,0.000000,4.850000,1.000000
3301.931885,76.000000,76.000000,2.730000,2.000000,2.000000,0.000000,4.120000,1.000000
3301.937012,83.000000,83.000000,2.750000,2.000000,2.000000,0.000000,4.120000,1.000000
3301.941895,53.000000,53.000000,2.680000,4.000000,2.000000,0.000000,3.380000,1.000000
3301.947021,71.000000,71.000000,2.620000,4.000000,2.000000,0.000000,3.380000,1.000000
3301.951904,3.000000,3.000000,2.850000,2.000000,4.000000,0.000000,4.130000,1.000000
3301.957031,-61.000000,-61.000000,2.930000,2.000000,4.000000,0.000000,4.130000,1.000000
3301.961914,-25.000000,-25.000000,3.010000,2.000000,2.000000,0.000000,4.130000,1.000000
3301.967041,-4.000000,-4.000000,3.050000,2.000000,2.000000,0.000000,4.130000,1.000000
3301.971924,26.000000,26.000000,3.010000,2.000000,2.000000,0.000000,3.400000,1.000000
3301.977051,52.000000,52.000000,3.070000,2.000000,2.000000,0.000000,3.400000,1.000000
3301.981934,7.000000,7.000000,3.080000,0.000000,2.000000,0.000000,3.400000,1.000000
3301.987061,18.000000,18.000000,2.980000,0.000000,2.000000,0.000000,3.400000,1.000000
3301.991943,38.000000,38.000000,3.040000,2.000000,0.000000,0.000000,2.660000,1.000000
3301.997070,21.000000,21.000000,3.080000,2.000000,0.000000,0.000000,2.660000,1.000000
3302.001953,-45.000000,-45.000000,3.080000,2.000000,2.000000,0.000000,2.660000,1.000000
3302.007080,-37.000000,-37.000000,3.050000,2.000000,2.000000,0.000000,2.660000,1.000000
3302.011963,-31.000000,-31.000000,3.080000,2.000000,2.000000,0.000000,3.410000,1.000000
3302.017090,-39.000000,-39.000000,3.110000,2.000000,2.000000,0.000000,3.410000,1.000000
3302.021973,2.000000,2.000000,3.180000,0.000000,2.000000,0.000000,3.410000,1.000000
3302.027100,8.000000,8.000000,3.250000,0.000000,2.000000,0.000000,3.410000,1.000000
3302.031982,36.000000,36.000000,3.150000,0.000000,0.000000,0.000000,2.670000,1.000000
3302.037109,78.000000,78.000000,3.070000,0.000000,0.000000,0.000000,2.670000,1.000000
3302.041992,57.000000,57.000000,3.060000,2.000000,0.000000,0.000000,1.930000,1.000000
3302.047119,60.000000,60.000000,2.900000,2.000000,0.000000,0.000000,1.930000,1.000000
3302.052002,12.000000,12.000000,2.930000,0.000000,2.000000,0.000000,2.680000,1.000000
3302.056885,-4.000000,-4.000000,2.940000,0.000000,2.000000,0.000000,2.680000,1.000000
3302.062012,34.000000,34.000000,2.880000,0.000000,0.000000,0.000000,2.680000,1.000000
3302.066895,48.000000,48.000000,2.830000,0.000000,0.000000,0.000000,2.680000,1.000000
3302.072021,60.000000,60.000000,2.790000,0.000000,2.000000,0.000000,1.940000,1.000000
3302.076904,61.000000,61.000000,2.760000,0.000000,2.000000,0.000000,1.940000,1.000000
3302.082031,11.000000,11.000000,2.650000,0.000000,2.000000,0.000000,2.680000,1.000000
3302.086914,24.000000,24.000000,2.530000,0.000000,2.000000,0.000000,2.680000,1.000000
3302.092041,64.000000,64.000000,2.650000,0.000000,2.000000,0.000000,2.680000,1.000000
3302.096924,12.000000,12.000000,2.700000,0.000000,2.000000,0.000000,2.680000,1.000000
3302.102051,-7.000000,-7.000000,2.640000,2.000000,2.000000,0.000000,2.680000,1.000000
3302.106934,20.000000,20.000000,2.530000,2.000000,2.000000,0.000000,2.680000,1.000000
3302.112061,28.000000,28.000000,2.610000,0.000000,2.000000,0.000000,3.430000,1.000000
3302.116943,-16.000000,-16.000000,2.700000,0.000000,2.000000,0.000000,3.430000,1.000000
3302.122070,1.000000,1.000000,2.800000,2.000000,2.000000,0.000000,2.690000,1.000000
3302.126953,4.000000,4.000000,2.760000,2.000000,2.000000,0.000000,2.690000,1.000000
3302.132080,-21.000000,-21.000000,2.740000,2.000000,2.000000,0.000000,3.430000,1.000000
3302.136963,0.000000,0.000000,2.810000,2.000000,2.000000,0.000000,3.430000,1.000000
3302.142090,41.000000,41.000000,2.820000,0.000000,0.000000,0.000000,3.440000,1.000000
3302.146973,44.000000,44.000000,2.900000,0.000000,0.000000,0.000000,3.440000,1.000000
3302.152100,68.000000,68.000000,2.830000,0.000000,0.000000,0.000000,1.960000,1.000000
3302.156982,112.000000,112.000000,2.710000,0.000000,0.000000,0.000000,1.960000,1.000000
3302.162109,52.000000,52.000000,2.570000,0.000000,2.000000,0.000000,1.960000,1.000000
3302.166992,66.000000,66.000000,2.450000,0.000000,2.000000,0.000000,1.960000,1.000000
3302.172119,34.000000,34.000000,2.620000,2.000000,0.000000,0.000000,2.700000,1.000000
3302.177002,-26.000000,-26.000000,2.660000,2.000000,0.000000,0.000000,2.700000,1.000000
3302.181885,18.000000,18.000000,2.630000,2.000000,2.000000,0.000000,2.700000,1.000000
3302.187012,46.000000,46.000000,2.590000,2.000000,2.000000,0.000000,2.700000,1.000000
3302.191895,64.000000,64.000000,2.570000,0.000000,0.000000,0.000000,3.450000,1.000000
3302.197021,61.000000,61.000000,2.580000,0.000000,0.000000,0.000000,3.450000,1.000000
3302.201904,105.000000,105.000000,2.560000,2.000000,2.000000,0.000000,1.960000,1.000000
3302.207031,113.000000,113.000000,2.440000,2.000000,2.000000,0.000000,1.960000,1.000000
3302.211914,18.000000,18.000000,2.520000,2.000000,2.000000,0.000000,3.450000,1.000000
3302.217041,-11.000000,-11.000000,2.570000,2.000000,2.000000,0.000000,3.450000,1.000000
3302.221924,74.000000,74.000000,2.590000,2.000000,2.000000,0.000000,3.450000,1.000000
3302.227051,93.000000,93.000000,2.570000,2.000000,2.000000,0.000000,3.450000,1.000000
3302.231934,122.000000,122.000000,2.500000,2.000000,0.000000,0.000000,3.460000,1.000000
3302.237061,148.000000,148.000000,2.470000,2.000000,0.000000,0.000000,3.460000,1.000000
3302.241943,159.000000,159.000000,2.190000,4.000000,4.000000,0.000000,2.720000,1.000000
3302.247070,185.000000,185.000000,2.130000,4.000000,4.000000,0.000000,2.720000,1.000000
3302.251953,104.000000,104.000000,2.350000,4.000000,2.000000,0.000000,4.950000,1.000000
3302.257080,24.000000,24.000000,2.360000,4.000000,2.000000,0.000000,4.950000,1.000000
3302.261963,155.000000,155.000000,2.420000,4.000000,4.000000,0.000000,4.220000,1.000000
3302.267090,168.000000,168.000000,2.410000,4.000000,4.000000,0.000000,4.220000,1.000000
3302.271973,125.000000,125.000000,2.450000,2.000000,4.000000,0.000000,4.960000,1.000000
3302.277100,133.000000,133.000000,2.470000,2.000000,4.000000,0.000000,4.960000,1.000000
3302.281982,181.000000,181.000000,2.330000,4.000000,4.000000,0.000000,4.230000,1.000000
