time,pwma,pwmb,pitch,motor_a_speed,motor_b_speed,target_speed,target_angle,running_success_flag,angle_error
10.654907,-71,-71,4.29,-2,-2,20,3.51,1,-0.78
10.659912,-71,-71,4.33,0,0,20,3.14,1,-1.19
10.664917,-80,-80,4.37,0,0,20,3.14,1,-1.23
10.669921,-110,-110,4.34,-2,-2,20,-3.6,1,-7.94
10.674926,-98,-98,4.4,-2,-2,20,-3.6,1,-8
10.679931,-566,-566,4.33,-2,-2,20,-4.37,1,-8.7
10.684936,-554,-554,4.39,-2,-2,20,-4.37,1,-8.76
10.689941,-608,-608,4.64,-6,-6,20,-4.4,1,-9.04
10.694946,-616,-616,4.84,-6,-6,20,-4.4,1,-9.24
10.699951,-577,-577,4.54,-10,-10,20,-5.92,1,-10.46
10.704956,-431,-431,4.06,-10,-10,20,-5.92,1,-9.98
10.70996,-374,-374,3.72,-14,-14,20,-7.44,1,-11.16
10.714965,-281,-281,3.36,-14,-14,20,-7.44,1,-10.8
10.71997,-316,-316,2.76,-18,-18,20,-8.98,1,-11.74
10.724975,-227,-227,2.19,-18,-18,20,-8.98,1,-11.17
10.72998,-229,-229,1.61,-20,-22,20,-10.51,1,-12.12
10.734985,-119,-119,0.57,-20,-22,20,-10.51,1,-11.08
10.73999,-93,-93,-0.32,-18,-20,20,-11.68,1,-11.36
10.744995,-2,-2,-1.13,-18,-20,20,-11.68,1,-10.55
10.75,-27,-27,-2.12,-18,-18,20,-10.98,1,-8.86
10.754882,42,42,-2.76,-18,-18,20,-10.98,1,-8.22
10.759887,132,132,-3.74,-14,-16,20,-10.66,1,-6.92
10.764892,189,189,-4.64,-14,-16,20,-10.66,1,-6.02
10.769897,261,261,-5.63,-10,-10,20,-9.58,1,-3.95
10.774902,297,297,-6.37,-10,-10,20,-9.58,1,-3.21
10.779907,361,361,-6.8,-8,-10,20,-7.75,1,-0.95
10.784912,318,318,-7.51,-8,-10,20,-7.75,1,-0.24
10.789917,430,430,-8.09,-2,-4,20,-7.41,1,0.68
10.794921,413,413,-8.44,-2,-4,20,-7.41,1,1.03
10.799926,392,392,-8.7,2,0,20,-5.2,1,3.5
10.804931,336,336,-8.76,2,0,20,-5.2,1,3.56
10.809936,428,428,-9.06,6,4,20,-3.74,1,5.32
10.814941,411,411,-9.35,6,4,20,-3.74,1,5.61
10.819946,499,499,-9.32,6,6,20,-2.26,1,7.06
10.824951,428,428,-9.01,6,6,20,-2.26,1,6.75
10.829956,436,436,-8.99,12,8,20,-1.91,1,7.08
10.83496,412,412,-9.17,12,8,20,-1.91,1,7.26
10.839965,438,438,-9.11,14,12,20,-0.43,1,8.68
10.84497,388,388,-8.63,14,12,20,-0.43,1,8.2
10.849975,375,375,-8.41,18,16,20,0.68,1,9.09
10.85498,313,313,-8.12,18,16,20,0.68,1,8.8
10.859985,351,351,-7.78,18,16,20,2.17,1,9.95
10.86499,304,304,-7.24,18,16,20,2.17,1,9.41
10.869995,337,337,-6.99,20,20,20,2.17,1,9.16
10.875,312,312,-6.51,20,20,20,2.17,1,8.68
10.879882,268,268,-6.01,18,18,20,3.29,1,9.3
10.884887,207,207,-5.37,18,18,20,3.29,1,8.66
10.889892,224,224,-5.05,20,20,20,2.54,1,7.59
10.894897,212,212,-4.54,20,20,20,2.54,1,7.08
10.899902,133,133,-4.08,18,18,20,3.28,1,7.36
10.904907,113,113,-3.69,18,18,20,3.28,1,6.97
10.909912,146,146,-3.14,20,18,20,2.54,1,5.68
10.914917,129,129,-2.79,20,18,20,2.54,1,5.33
10.919921,72,72,-2.29,16,14,20,2.91,1,5.2
10.924926,57,57,-1.98,16,14,20,2.91,1,4.89
10.929931,94,94,-1.62,14,14,20,1.41,1,3.03
10.934936,105,105,-1.39,14,14,20,1.41,1,2.8
10.939941,18,18,-1.13,12,12,20,1.03,1,2.16
10.944946,31,31,-0.98,12,12,20,1.03,1,2.01
10.949951,27,27,-0.83,12,10,20,0.27,1,1.1
10.954956,52,52,-0.73,12,10,20,0.27,1,1
10.95996,28,28,-0.69,8,8,20,-0.11,1,0.58
10.964965,59,59,-0.67,8,8,20,-0.11,1,0.56
10.96997,61,61,-0.63,8,8,20,-1.24,1,-0.61
10.974975,81,81,-0.73,8,8,20,-1.24,1,-0.51
10.97998,32,32,-0.74,6,6,20,-1.26,1,-0.52
10.984985,58,58,-0.87,6,6,20,-1.26,1,-0.39
10.98999,93,93,-1,6,6,20,-2.02,1,-1.02
10.994995,128,128,-1.21,6,6,20,-2.02,1,-0.81
11,111,111,-1.38,4,4,20,-2.04,1,-0.66
11.004882,139,139,-1.57,4,4,20,-2.04,1,-0.47
11.009887,170,170,-1.94,6,6,20,-2.8,1,-0.86
11.014892,213,213,-2.34,6,6,20,-2.8,1,-0.46
11.019897,186,186,-2.37,4,6,20,-2.07,1,0.3
11.024902,170,170,-2.6,4,6,20,-2.07,1,0.53
11.029907,234,234,-3,8,6,20,-2.46,1,0.54
11.034912,279,279,-3.32,8,6,20,-2.46,1,0.86
11.039917,273,273,-3.32,8,6,20,-1.73,1,1.59
11.044921,245,245,-3.53,8,6,20,-1.73,1,1.8
11.049926,297,297,-3.87,10,10,20,-1.75,1,2.12
11.054931,332,332,-4.12,10,10,20,-1.75,1,2.37
11.059936,341,341,-4.23,10,8,20,-0.64,1,3.59
11.064941,319,319,-4.25,10,8,20,-0.64,1,3.61
11.069946,368,368,-4.49,12,12,20,-1.03,1,3.46
11.074951,384,384,-4.72,12,12,20,-1.03,1,3.69
11.079956,367,367,-4.93,12,12,20,0.08,1,5.01
11.08496,355,355,-4.74,12,12,20,0.08,1,4.82
11.089965,381,381,-4.84,16,16,20,0.07,1,4.91
11.09497,374,374,-5.03,16,16,20,0.07,1,5.1
11.099975,382,382,-5.01,16,14,20,1.56,1,6.57
11.10498,365,365,-4.79,16,14,20,1.56,1,6.35
11.109985,425,425,-4.99,18,18,20,1.18,1,6.17
11.11499,433,433,-5.02,18,18,20,1.18,1,6.2
11.119995,397,397,-4.88,18,16,20,2.3,1,7.18
11.125,350,350,-4.55,18,16,20,2.3,1,6.85
11.129882,374,374,-4.51,20,18,20,1.92,1,6.43
11.134887,376,376,-4.45,20,18,20,1.92,1,6.37
11.139892,347,347,-4.27,20,20,20,2.66,1,6.93
11.144897,324,324,-3.89,20,20,20,2.66,1,6.55
11.149902,329,329,-3.93,22,22,20,3.04,1,6.97
11.154907,335,335,-3.76,22,22,20,3.04,1,6.8
11.159912,348,348,-3.46,20,20,20,3.78,1,7.24
11.164917,308,308,-3.19,20,20,20,3.78,1,6.97
11.169921,333,333,-3.11,22,24,20,3.04,1,6.15
11.174926,344,344,-2.9,22,24,20,3.04,1,5.94
11.179931,283,283,-2.71,22,20,20,4.16,1,6.87
11.184936,270,270,-2.37,22,20,20,4.16,1,6.53
11.189941,319,319,-2.34,22,22,20,3.42,1,5.76
11.194946,326,326,-2.13,22,22,20,3.42,1,5.55
11.199951,261,261,-1.9,22,20,20,3.79,1,5.69
11.204956,249,249,-1.66,22,20,20,3.79,1,5.45
11.20996,268,268,-1.61,22,22,20,3.42,1,5.03
11.214965,290,290,-1.54,22,22,20,3.42,1,4.96
11.21997,274,274,-1.39,20,18,20,3.79,1,5.18
11.224975,277,277,-1.28,20,18,20,3.79,1,5.07
11.22998,306,306,-1.37,22,20,20,2.68,1,4.05
11.234985,330,330,-1.21,22,20,20,2.68,1,3.89
11.23999,241,241,-1.09,20,20,20,3.42,1,4.51
11.244995,233,233,-1.1,20,20,20,3.42,1,4.52
11.25,303,303,-1.18,20,22,20,3.05,1,4.23
11.254882,335,335,-1.26,20,22,20,3.05,1,4.31
11.259887,323,323,-1.04,18,18,20,3.42,1,4.46
11.264892,312,312,-1.08,18,18,20,3.42,1,4.5
11.269897,354,354,-1.36,22,20,20,2.3,1,3.66
11.274902,399,399,-1.34,22,20,20,2.3,1,3.64
11.279907,317,317,-1.44,18,18,20,3.42,1,4.86
11.284912,317,317,-1.49,18,18,20,3.42,1,4.91
11.289917,394,394,-1.67,22,20,20,2.3,1,3.97
11.294921,409,409,-1.72,22,20,20,2.3,1,4.02
11.299926,326,326,-1.69,20,20,20,3.42,1,5.11
11.304931,320,320,-1.76,20,20,20,3.42,1,5.18
11.309936,409,409,-2.14,22,22,20,3.05,1,5.19
11.314941,452,452,-2.17,22,22,20,3.05,1,5.22
11.319946,421,421,-2.23,20,20,20,3.8,1,6.03
11.324951,410,410,-2.14,20,20,20,3.8,1,5.94
11.329956,449,449,-2.35,22,22,20,3.05,1,5.4
11.33496,478,478,-2.72,22,22,20,3.05,1,5.77
11.339965,455,455,-2.68,22,22,20,3.8,1,6.48
11.34497,430,430,-2.52,22,22,20,3.8,1,6.32
11.349975,442,442,-2.72,24,24,20,3.8,1,6.52
11.35498,452,452,-2.7,24,24,20,3.8,1,6.5
11.359985,451,451,-2.63,24,24,20,4.55,1,7.18
11.36499,433,433,-2.49,24,24,20,4.55,1,7.04
11.369995,455,455,-2.62,26,26,20,4.56,1,7.18
11.375,460,460,-2.65,26,26,20,4.56,1,7.21
11.379882,456,456,-2.49,26,26,20,5.31,1,7.8
11.384887,415,415,-2.2,26,26,20,5.31,1,7.51
11.389892,420,420,-2.16,28,26,20,5.32,1,7.48
11.394897,421,421,-2.13,28,26,20,5.32,1,7.45
11.399902,421,421,-1.95,28,26,20,5.7,1,7.65
11.404907,402,402,-1.66,28,26,20,5.7,1,7.36
11.409912,397,397,-1.76,30,28,20,5.71,1,7.47
11.414917,411,411,-1.67,30,28,20,5.71,1,7.38
11.419921,404,404,-1.38,28,26,20,6.46,1,7.84
11.424926,361,361,-1.02,28,26,20,6.46,1,7.48
11.429931,373,373,-0.97,28,28,20,5.72,1,6.69
11.434936,385,385,-0.75,28,28,20,5.72,1,6.47
11.439941,325,325,-0.6,28,28,20,6.11,1,6.71
11.444946,328,328,-0.35,28,28,20,6.11,1,6.46
11.449951,353,353,-0.52,30,28,20,6.12,1,6.64
11.454956,384,384,-0.34,30,28,20,6.12,1,6.46
11.45996,369,369,-0.13,26,26,20,6.5,1,6.63
11.464965,343,343,0.06,26,26,20,6.5,1,6.44
11.46997,360,360,-0.06,28,28,20,5.39,1,5.45
11.474975,393,393,0.19,28,28,20,5.39,1,5.2
11.47998,306,306,0.27,26,26,20,6.14,1,5.87
11.484985,321,321,0.32,26,26,20,6.14,1,5.82
11.48999,400,400,0.11,28,28,20,5.41,1,5.3
11.494995,441,441,0.05,28,28,20,5.41,1,5.36
11.5,391,391,0.17,26,24,20,6.16,1,5.99
11.504882,370,370,0.17,26,24,20,6.16,1,5.99
11.509887,428,428,0.08,26,26,20,5.05,1,4.97
11.514892,454,454,0.11,26,26,20,5.05,1,4.94
11.519897,378,378,0.07,26,24,20,5.43,1,5.36
11.524902,393,393,0.1,26,24,20,5.43,1,5.33
11.529907,430,430,-0.2,28,28,20,5.06,1,5.26
11.534912,465,465,-0.33,28,28,20,5.06,1,5.39
11.539917,445,445,-0.25,26,26,20,6.19,1,6.44
11.544921,412,412,-0.21,26,26,20,6.19,1,6.4
11.549926,475,475,-0.41,26,28,20,5.45,1,5.86
11.554931,501,501,-0.48,26,28,20,5.45,1,5.93
11.559936,456,456,-0.46,26,26,20,5.83,1,6.29
11.564941,460,460,-0.44,26,26,20,5.83,1,6.27
11.569946,485,485,-0.74,28,28,20,5.47,1,6.21
11.574951,513,513,-0.93,28,28,20,5.47,1,6.4
11.579956,492,492,-0.84,28,28,20,6.22,1,7.06
11.58496,449,449,-0.7,28,28,20,6.22,1,6.92
11.589965,466,466,-0.77,30,28,20,6.23,1,7
11.59497,478,478,-0.77,30,28,20,6.23,1,7
11.599975,478,478,-0.7,30,30,20,6.62,1,7.32
11.60498,473,473,-0.56,30,30,20,6.62,1,7.18
11.609985,491,491,-0.73,32,30,20,7,1,7.73
11.61499,511,511,-0.92,32,30,20,7,1,7.92
11.619995,548,548,-0.72,30,30,20,7.39,1,8.11
11.625,501,501,-0.48,30,30,20,7.39,1,7.87
11.629882,484,484,-0.6,30,32,20,7.03,1,7.63
11.634887,500,500,-0.67,30,32,20,7.03,1,7.7
11.639892,484,484,-0.42,32,32,20,7.41,1,7.83
11.644897,455,455,-0.3,32,32,20,7.41,1,7.71
11.649902,461,461,-0.34,32,32,20,7.8,1,8.14
11.654907,465,465,-0.36,32,32,20,7.8,1,8.16
11.659912,484,484,-0.07,32,32,20,7.81,1,7.88
11.664917,435,435,0.31,32,32,20,7.81,1,7.5
11.669921,390,390,0.31,34,34,20,7.83,1,7.52
11.674926,399,399,0.36,34,34,20,7.83,1,7.47
11.679931,403,403,0.72,34,34,20,8.59,1,7.87
11.684936,372,372,0.95,34,34,20,8.59,1,7.64
11.689941,416,416,0.9,34,34,20,8.61,1,7.71
11.694946,446,446,0.97,34,34,20,8.61,1,7.64
11.699951,455,455,1.09,32,32,20,8.62,1,7.53
11.704956,442,442,1.28,32,32,20,8.62,1,7.34
