time,pwma,pwmb,pitch,motor_a_speed,motor_b_speed,target_speed,target_angle,running_success_flag,angle_error
0,0,0,3.01,0,0,0,0,1,-3.01
0.004883,0,0,3.15,0,0,0,0,1,-3.15
0.01001,0,0,3.28,0,0,0,0,1,-3.28
0.014893,0,0,3.38,0,0,0,0,1,-3.38
0.020019,0,0,3.4,0,0,0,0,1,-3.4
0.024902,-254,-254,3.42,0,0,0,0,1,-3.42
0.030029,-237,-237,3.42,0,0,0,0,1,-3.42
0.034912,-224,-224,3.64,-4,-4,0,0,1,-3.64
0.039795,-225,-225,3.44,-4,-4,0,0,1,-3.44
0.044922,-162,-162,3.13,-4,-4,0,-1.86,1,-4.99
0.049805,-85,-85,2.96,-4,-4,0,-1.86,1,-4.82
0.054932,-195,-195,2.94,-4,-6,0,-1.86,1,-4.8
0.059814,-203,-203,2.79,-4,-6,0,-1.86,1,-4.65
0.064941,-175,-175,2.26,-6,-6,0,-2.33,1,-4.59
0.069824,-98,-98,2.04,-6,-6,0,-2.33,1,-4.37
0.074951,-127,-127,2.17,-6,-8,0,-2.81,1,-4.98
0.079834,-177,-177,2.06,-6,-8,0,-2.81,1,-4.87
0.084961,-192,-192,1.59,-6,-8,0,-3.28,1,-4.87
0.089844,-117,-117,1.29,-6,-8,0,-3.28,1,-4.57
0.094971,-134,-134,1.45,-8,-8,0,-3.29,1,-4.74
0.099853,-184,-184,1.37,-8,-8,0,-3.29,1,-4.66
0.10498,-173,-173,0.85,-6,-6,0,-3.76,1,-4.61
0.109863,-81,-81,0.49,-6,-6,0,-3.76,1,-4.25
0.11499,-83,-83,0.59,-10,-10,0,-2.84,1,-3.43
0.119873,-134,-134,0.54,-10,-10,0,-2.84,1,-3.38
0.125,-69,-69,0.09,-8,-8,0,-4.71,1,-4.8
0.129883,5,5,-0.28,-8,-8,0,-4.71,1,-4.43
0.13501,-89,-89,-0.42,-8,-8,0,-3.79,1,-3.37
0.139893,-116,-116,-0.45,-8,-8,0,-3.79,1,-3.34
0.145019,-73,-73,-0.73,-6,-8,0,-3.8,1,-3.07
0.149902,-49,-49,-0.97,-6,-8,0,-3.8,1,-2.83
0.155029,-40,-40,-1.01,-8,-8,0,-3.34,1,-2.33
0.159912,-63,-63,-1.06,-8,-8,0,-3.34,1,-2.28
0.164795,-34,-34,-1.27,-4,-6,0,-3.82,1,-2.55
0.169922,-9,-9,-1.4,-4,-6,0,-3.82,1,-2.42
0.174805,-37,-37,-1.38,-4,-6,0,-2.43,1,-1.05
0.179932,-54,-54,-1.46,-4,-6,0,-2.43,1,-0.97
0.184814,49,49,-1.58,-4,-6,0,-2.44,1,-0.86
0.189941,70,70,-1.72,-4,-6,0,-2.44,1,-0.72
0.194824,69,69,-1.83,-2,-2,0,-2.44,1,-0.61
0.199951,64,64,-1.89,-2,-2,0,-2.44,1,-0.55
0.204834,48,48,-1.86,-2,0,0,-1.05,1,0.81
0.209961,31,31,-1.88,-2,0,0,-1.05,1,0.83
0.214844,126,126,-1.93,0,0,0,-0.59,1,1.34
0.219971,132,132,-1.73,0,0,0,-0.59,1,1.14
0.224853,126,126,-1.56,2,0,0,-0.13,1,1.43
0.22998,118,118,-1.54,2,0,0,-0.13,1,1.41
0.234863,168,168,-1.56,2,2,0,0.34,1,1.9
0.23999,193,193,-1.57,2,2,0,0.34,1,1.91
0.244873,235,235,-1.59,2,2,0,0.8,1,2.39
0.25,245,245,-1.72,2,2,0,0.8,1,2.52
0.254883,303,303,-2.05,6,6,0,0.81,1,2.86
0.26001,336,336,-2.26,6,6,0,0.81,1,3.07
0.264893,318,318,-2.17,6,6,0,2.67,1,4.84
0.270019,260,260,-2.06,6,6,0,2.67,1,4.73
0.274902,355,355,-2.3,8,8,0,2.68,1,4.98
0.280029,367,367,-2.28,8,8,0,2.68,1,4.96
0.284912,333,333,-2,10,10,0,3.61,1,5.61
0.289795,259,259,-1.55,10,10,0,3.61,1,5.16
0.294922,237,237,-1.6,12,12,0,4.55,1,6.15
0.299805,263,263,-1.62,12,12,0,4.55,1,6.17
0.304932,331,331,-1.4,14,12,0,5.49,1,6.89
0.309814,283,283,-0.97,14,12,0,5.49,1,6.46
0.314941,271,271,-1,16,14,0,5.97,1,6.97
0.319824,296,296,-0.98,16,14,0,5.97,1,6.95
0.324951,336,336,-0.68,14,14,0,6.92,1,7.6
0.329834,279,279,-0.17,14,14,0,6.92,1,7.09
0.334961,269,269,-0.14,18,16,0,6.47,1,6.61
0.339844,302,302,-0.21,18,16,0,6.47,1,6.68
0.344971,300,300,-0.03,16,14,0,7.88,1,7.91
0.349853,262,262,0.44,16,14,0,7.88,1,7.44
0.35498,268,268,0.57,20,18,0,6.98,1,6.41
0.359863,273,273,0.71,20,18,0,6.98,1,6.27
0.36499,219,219,0.8,16,16,0,8.85,1,8.05
0.369873,215,215,1.22,16,16,0,8.85,1,7.63
0.375,283,283,1.3,18,18,0,7.48,1,6.18
0.379883,297,297,1.47,18,18,0,7.48,1,6.01
0.38501,195,195,1.69,16,16,0,8.43,1,6.74
0.389893,161,161,2.1,16,16,0,8.43,1,6.33
0.395019,189,189,2.14,16,16,0,7.52,1,5.38
0.399902,211,211,2.19,16,16,0,7.52,1,5.33
