I0,I1,I2,I3,I4,I5,I6,I7,I8
763.067017,22.000000,22.000000,0.070000,2.000000,2.000000,0.000000,0.690000,1.000000
763.072021,20.000000,20.000000,0.140000,2.000000,2.000000,0.000000,0.700000,1.000000
763.077026,12.000000,12.000000,0.240000,2.000000,2.000000,0.000000,0.700000,1.000000
763.081970,1.000000,1.000000,0.300000,0.000000,2.000000,0.000000,0.700000,1.000000
763.086975,1.000000,1.000000,0.290000,0.000000,2.000000,0.000000,0.700000,1.000000
763.091980,9.000000,9.000000,0.340000,2.000000,0.000000,0.000000,0.500000,1.000000
763.096985,4.000000,4.000000,0.400000,2.000000,0.000000,0.000000,0.500000,1.000000
763.101990,-14.000000,-14.000000,0.440000,2.000000,2.000000,0.000000,0.500000,1.000000
763.106995,-12.000000,-12.000000,0.430000,2.000000,2.000000,0.000000,0.500000,1.000000
763.112000,-5.000000,-5.000000,0.440000,0.000000,0.000000,0.000000,0.700000,1.000000
763.117004,-5.000000,-5.000000,0.480000,0.000000,0.000000,0.000000,0.700000,1.000000
763.122009,7.000000,7.000000,0.500000,0.000000,2.000000,0.000000,0.300000,1.000000
763.127014,9.000000,9.000000,0.480000,0.000000,2.000000,0.000000,0.300000,1.000000
763.132019,-12.000000,-12.000000,0.430000,0.000000,0.000000,0.000000,0.500000,1.000000
763.137024,-4.000000,-4.000000,0.430000,0.000000,0.000000,0.000000,0.500000,1.000000
763.142029,10.000000,10.000000,0.420000,0.000000,0.000000,0.000000,0.300000,1.000000
763.146973,9.000000,9.000000,0.410000,0.000000,0.000000,0.000000,0.300000,1.000000
763.151978,-3.000000,-3.000000,0.360000,0.000000,0.000000,0.000000,0.300000,1.000000
763.156982,1.000000,1.000000,0.340000,0.000000,0.000000,0.000000,0.300000,1.000000
763.161987,2.000000,2.000000,0.330000,0.000000,0.000000,0.000000,0.300000,1.000000
763.166992,-1.000000,-1.000000,0.350000,0.000000,0.000000,0.000000,0.300000,1.000000
763.171997,-5.000000,-5.000000,0.340000,0.000000,0.000000,0.000000,0.300000,1.000000
763.177002,-4.000000,-4.000000,0.330000,0.000000,0.000000,0.000000,0.300000,1.000000
763.182007,-4.000000,-4.000000,0.320000,0.000000,0.000000,0.000000,0.300000,1.000000
763.187012,-5.000000,-5.000000,0.340000,0.000000,0.000000,0.000000,0.300000,1.000000
763.192017,-7.000000,-7.000000,0.330000,0.000000,0.000000,0.000000,0.300000,1.000000
763.197021,-8.000000,-8.000000,0.350000,0.000000,0.000000,0.000000,0.300000,1.000000
763.202026,-10.000000,-10.000000,0.340000,0.000000,0.000000,0.000000,0.300000,1.000000
763.206970,-11.000000,-11.000000,0.360000,0.000000,0.000000,0.000000,0.300000,1.000000
763.211975,-13.000000,-13.000000,0.360000,0.000000,0.000000,0.000000,0.300000,1.000000
763.216980,-14.000000,-14.000000,0.380000,0.000000,0.000000,0.000000,0.300000,1.000000
763.221985,-16.000000,-16.000000,0.380000,0.000000,0.000000,0.000000,0.300000,1.000000
763.226990,-16.000000,-16.000000,0.400000,0.000000,0.000000,0.000000,0.300000,1.000000
763.231995,-19.000000,-19.000000,0.410000,0.000000,0.000000,0.000000,0.300000,1.000000
763.237000,-20.000000,-20.000000,0.470000,0.000000,0.000000,0.000000,0.300000,1.000000
763.242004,-25.000000,-25.000000,0.450000,0.000000,0.000000,0.000000,0.300000,1.000000
763.247009,-23.000000,-23.000000,0.470000,0.000000,0.000000,0.000000,0.300000,1.000000
763.252014,-24.000000,-24.000000,0.490000,0.000000,0.000000,0.000000,0.300000,1.000000
763.257019,-27.000000,-27.000000,0.550000,0.000000,0.000000,0.000000,0.300000,1.000000
763.262024,-32.000000,-32.000000,0.540000,0.000000,-2.000000,0.000000,0.300000,1.000000
763.267029,-31.000000,-31.000000,0.580000,0.000000,-2.000000,0.000000,0.300000,1.000000
763.271973,-34.000000,-34.000000,0.590000,0.000000,0.000000,0.000000,0.100000,1.000000
763.276978,-36.000000,-36.000000,0.650000,0.000000,0.000000,0.000000,0.100000,1.000000
763.281982,-57.000000,-57.000000,0.660000,0.000000,0.000000,0.000000,0.300000,1.000000
