I0,I1,I2,I3,I4,I5,I6,I7,I8
42.237000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
42.242001,0.000000,0.000000,0.510000,0.000000,0.000000,0.000000,0.000000,0.000000
42.247002,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
42.251999,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
42.257000,0.000000,0.000000,0.490000,0.000000,0.000000,0.000000,0.000000,0.000000
42.262001,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000
42.266998,0.000000,0.000000,0.470000,0.000000,0.000000,0.000000,0.000000,0.000000
42.271999,0.000000,0.000000,0.460000,0.000000,0.000000,0.000000,0.000000,0.000000
42.277000,0.000000,0.000000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000
42.282001,0.000000,0.000000,0.440000,0.000000,0.000000,0.000000,0.000000,0.000000
42.286999,0.000000,0.000000,0.430000,0.000000,0.000000,0.000000,0.000000,0.000000
42.292000,0.000000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000
42.297001,0.000000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000
42.301998,0.000000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000
42.306999,0.000000,0.000000,0.410000,0.000000,0.000000,0.000000,0.000000,0.000000
42.312000,0.000000,0.000000,0.410000,0.000000,0.000000,0.000000,0.000000,0.000000
42.317001,0.000000,0.000000,0.420000,0.000000,0.000000,0.000000,0.000000,0.000000
42.321999,0.000000,0.000000,0.430000,0.000000,0.000000,0.000000,0.000000,0.000000
42.327000,0.000000,0.000000,0.440000,0.000000,0.000000,0.000000,0.000000,0.000000
42.332001,0.000000,0.000000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000
42.337002,0.000000,0.000000,0.450000,0.000000,0.000000,0.000000,0.000000,0.000000
42.341999,0.000000,0.000000,0.460000,0.000000,0.000000,0.000000,0.000000,0.000000
42.347000,0.000000,0.000000,0.470000,0.000000,0.000000,0.000000,0.000000,0.000000
42.352001,0.000000,0.000000,0.470000,0.000000,0.000000,0.000000,0.000000,0.000000
42.356998,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000
42.362000,0.000000,0.000000,0.490000,0.000000,0.000000,0.000000,0.000000,0.000000
42.367001,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
42.372002,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
42.376999,0.000000,0.000000,0.510000,0.000000,0.000000,0.000000,0.000000,0.000000
42.382000,0.000000,0.000000,0.510000,0.000000,0.000000,0.000000,0.000000,0.000000
42.387001,0.000000,0.000000,0.510000,0.000000,0.000000,0.000000,0.000000,0.000000
42.391998,0.000000,0.000000,0.510000,0.000000,0.000000,0.000000,0.000000,0.000000
42.396999,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000
42.402000,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000
42.407001,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000
42.411999,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000
42.417000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000
42.422001,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000
42.426998,0.000000,0.000000,0.540000,0.000000,0.000000,0.000000,0.000000,0.000000
42.431999,0.000000,0.000000,0.550000,0.000000,0.000000,0.000000,0.000000,0.000000
42.437000,0.000000,0.000000,0.550000,0.000000,0.000000,0.000000,0.000000,0.000000
42.442001,0.000000,0.000000,0.560000,0.000000,0.000000,0.000000,0.000000,0.000000
42.446999,0.000000,0.000000,0.560000,0.000000,0.000000,0.000000,0.000000,0.000000
42.452000,0.000000,0.000000,0.570000,0.000000,0.000000,0.000000,0.000000,0.000000
42.457001,0.000000,0.000000,0.580000,0.000000,0.000000,0.000000,0.000000,0.000000
42.462002,0.000000,0.000000,0.580000,0.000000,0.000000,0.000000,0.000000,0.000000
42.466999,0.000000,0.000000,0.590000,0.000000,0.000000,0.000000,0.000000,0.000000
42.472000,0.000000,0.000000,0.590000,0.000000,0.000000,0.000000,0.000000,0.000000
42.477001,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000
42.481998,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000
42.487000,0.000000,0.000000,0.610000,0.000000,0.000000,0.000000,0.000000,0.000000
42.492001,0.000000,0.000000,0.610000,0.000000,0.000000,0.000000,0.000000,0.000000
42.497002,0.000000,0.000000,0.610000,0.000000,0.000000,0.000000,0.000000,0.000000
42.501999,0.000000,0.000000,0.620000,0.000000,0.000000,0.000000,0.000000,0.000000
42.507000,0.000000,0.000000,0.620000,0.000000,0.000000,0.000000,0.000000,0.000000
42.512001,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000
42.516998,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000
42.521999,0.000000,0.000000,0.640000,0.000000,0.000000,0.000000,0.000000,0.000000
42.527000,0.000000,0.000000,0.640000,0.000000,0.000000,0.000000,0.000000,0.000000
42.532001,0.000000,0.000000,0.640000,0.000000,0.000000,0.000000,0.000000,0.000000
42.536999,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000
42.542000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000
42.547001,0.000000,0.000000,0.620000,0.000000,0.000000,0.000000,0.000000,0.000000
42.551998,0.000000,0.000000,0.620000,0.000000,0.000000,0.000000,0.000000,0.000000
42.556999,0.000000,0.000000,0.610000,0.000000,0.000000,0.000000,0.000000,0.000000
42.562000,0.000000,0.000000,0.610000,0.000000,0.000000,0.000000,0.000000,0.000000
42.567001,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000
42.571999,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000
42.577000,0.000000,0.000000,0.590000,0.000000,0.000000,0.000000,0.000000,0.000000
