time,spd_kp_0.27_ki_0.0043_pwma,spd_kp_0.291_ki_0.00290_pwma,spd_kp_0.27_ki_0.0043_pwmb,spd_kp_0.291_ki_0.00290_pwmb,spd_kp_0.27_ki_0.0043_pitch,spd_kp_0.291_ki_0.00290_pitch,spd_kp_0.27_ki_0.0043_motor_a_speed,spd_kp_0.291_ki_0.00290_motor_a_speed,spd_kp_0.27_ki_0.0043_motor_b_speed,spd_kp_0.291_ki_0.00290_motor_b_speed,spd_kp_0.27_ki_0.0043_target_angle,spd_kp_0.291_ki_0.00290_target_angle,spd_kp_0.27_ki_0.0043_angle_error,spd_kp_0.291_ki_0.00290_angle_error
0,27,-82,27,-82,3.15,4.6,-2,2,-2,2,2.61,4.66,-0.54,0.0600000000000005
0.005,6.02097902097406,-57.024975024978,6.02097902097406,-57.024975024978,3.09005994005993,4.66993006993006,-2,2,-2,2,2.61,4.66,-0.480059940059926,-0.00993006993006145
0.01,6,-47.0199800199824,6,-47.0199800199824,3.02013986013985,4.77978021978019,-0.00399600399576694,0.00399600399647682,-2,0.00399600399647682,2.86948051948055,4.091138861139,-0.150659340659302,-0.688641358641198
0.015,26.9370629370629,-84.8861138861004,26.9370629370629,-84.8861138861004,2.94023976023976,4.90961038961034,0,0,-2,0,2.87,4.09,-0.07023976023976,-0.819610389610343
0.02,28.9920079920085,-80.0199800199788,28.9920079920085,-80.0199800199788,2.85035964035962,4.78051948051945,0,0,-2,0,-4.93867132867318,-5.18279720279938,-7.78903096903279,-9.96331668331883
0.025,-555.18465227816,-751.745454545457,-555.18465227816,-751.745454545457,2.81019184652278,4.7198041958042,0,0,-2,-0.0391608391604883,-4.97,-5.22176223776222,-7.78019184652278,-9.94156643356642
0.03,-561.976823176824,-739.16723276723,-561.976823176824,-739.16723276723,2.81,4.71408791208785,0,0,-2,-2,-5.10918881118884,-5.31,-7.91918881118884,-10.0240879120878
0.035,-578.884515484517,-748.404395604386,-578.884515484517,-748.404395604386,2.79013586413586,4.93193406593402,0,-0.0351648351640371,-2,-2.03516483516404,-5.11,-5.31650549450535,-7.90013586413586,-10.2484395604394
0.04,-580.984415584416,-771.464335664341,-580.984415584416,-771.464335664341,3.13727272727272,5.04530669330675,0,-2,-0.0155844155844764,-4,-5.23898701298701,-5.68,-8.37625974025973,-10.7253066933068
0.045,-618.665934065942,-799.015584415584,-618.665934065942,-799.015584415584,3.36797802197807,5.36187012987014,0,-2.12467532467581,0,-4.12467532467581,-5.24,-5.69059740259744,-8.60797802197807,-11.0524675324676
0.05,-617.01958041958,-800,-617.01958041958,-800,3.3600979020979,5.47679120879122,-7.92167832167903,-10,-7.92167832167903,-12,-5.10137062937062,-6.36,-8.46146853146852,-11.8367912087912
0.055,-532.801398601388,-798.423976023996,-532.801398601388,-798.423976023996,2.85955244755242,5.25293506493516,-8.00279720279735,-10.054345654345,-8.00279720279735,-12.054345654345,-5.10320279720297,-6.3928791208787,-7.96275524475539,-11.6458141858139
0.06,-391.031175059949,-684.176258992802,-391.031175059949,-684.176258992802,2.53980415667468,4.73282374100736,-10,-14,-10,-16,-7.39,-8.78,-9.92980415667468,-13.5128237410074
0.065,-468.968824940051,-696.502897102923,-468.968824940051,-696.502897102923,2.05019584332532,4.1617482517484,-10,-14.070729270728,-10,-16.094305694304,-7.39,-8.79508891108865,-9.44019584332532,-12.956837162837
0.07,-387.114685314662,-570.687112887122,-387.114685314662,-570.687112887122,1.6905034965034,3.462231768232,-15.9916083916101,-20,-15.9916083916101,-24,-8.09900699300719,-10.06,-9.78951048951059,-13.522231768232
0.075,-371.038361638359,-540.874125874176,-371.038361638359,-540.874125874176,1.10141458541449,2.741384615385,-16,-20.0391608391591,-16,-24,-8.1,-10.0812447552438,-9.20141458541449,-12.8226293706288
0.08,-284.295504495501,-427.263736263741,-284.295504495501,-427.263736263741,0.60169830169828,1.86261538461526,-17.9932067932069,-24,-17.9932067932069,-24,-9.88392007992016,-12.23,-10.4856183816184,-14.0926153846153
0.085,-336.767032967048,-456.189610389607,-336.767032967048,-456.189610389607,-0.017274725274899,1.02033766233762,-18,-24.0467532467534,-18,-24.0623376623379,-9.89,-12.2356883116883,-9.8727252747251,-13.256025974026
0.09,-240.523276723261,-352.25954045955,-240.523276723261,-352.25954045955,-1.01460539460556,-0.217132867132774,-21.9784215784222,-30,-21.9784215784222,-32,-10.6260079920081,-12.96,-9.61140259740255,-12.7428671328672
0.095,-167.46673326673,-243.339460539484,-167.46673326673,-243.339460539484,-2.14277522477527,-1.26631568431546,-22,-29.988411588412,-22,-32,-10.63,-12.9718201798198,-8.48722477522472,-11.7055044955043
0.1,-42.924075924041,-130.254145854129,-42.924075924041,-130.254145854129,-2.83489910089929,-2.3562817182813,-20.0147852147847,-28,-22,-32,-11.9005374625378,-15,-9.06563836163853,-12.6437182817187
0.105,-72.7398601398652,-182.593725020031,-72.7398601398652,-182.593725020031,-4.14892307692329,-3.66542965627435,-20,-28.0151878497185,-22,-32.0075939248592,-11.91,-15,-7.76107692307671,-11.3345703437257
0.11,42.9244604316837,-75.6643356643754,42.9244604316837,-75.6643356643754,-5.19043964828163,-5.09287712287678,-21.9816147082339,-32,-20.0183852917661,-34,-11.8703677058353,-15,-6.67992805755369,-9.90712287712322
0.115,130.113486513498,36.1478521478173,130.113486513498,36.1478521478173,-6.20960639360653,-6.05285714285647,-22,-31.9960039960049,-20,-33.9960039960049,-11.87,-15,-5.66039360639347,-8.94714285714353
0.12,193.050949050955,110.108891108904,193.050949050955,110.108891108904,-7.3509090909092,-7.48121878121892,-18,-30,-18,-32,-12.08,-15,-4.7290909090908,-7.51878121878108
0.125,244,219,244,219,-8.26,-8.7,-18,-30,-18,-32,-12.08,-15,-3.82,-6.3
0.13,285.958041958052,309.90909090908,285.958041958052,309.90909090908,-9.10915084915105,-10.2484515484514,-14.0039960039951,-28.0019980019982,-14.0039960039951,-28.0039960039965,-11.4905894105893,-15,-2.38143856143822,-4.75154845154863
0.135,364.842157842167,426.766233766206,364.842157842167,426.766233766206,-10.0082017982019,-12.0164635364631,-14,-28,-14,-28,-11.49,-15,-1.48179820179809,-2.98353646353688
0.14,409.865134865135,559.601398601352,409.865134865135,559.601398601352,-11.1864635364635,-13.3061338661334,-12.005994005994,-20.0239760239788,-14,-22.0179820179841,-10.6226073926074,-14.99002997003,0.56385614385615,-1.68389610389656
0.145,542.468531468563,619.760239760254,542.468531468563,619.760239760254,-12.0067232767235,-14.4454445554448,-12,-20,-14,-22,-10.62,-14.99,1.38672327672347,-0.544555444555181
0.15,552.952038369304,628.525874125851,552.952038369304,628.525874125851,-12.6270263788969,-15.1989930069928,-6.02877697841745,-18,-6.03836930455661,-18,-10.5403836930456,-13.12,2.0866426858513,2.07899300699284
0.155,527.150649350644,755.706093906083,527.150649350644,755.706093906083,-12.799014985015,-16.1743416397599,-6,-17.8885114885133,-6,-17.9256743256755,-10.54,-13.1066213786216,2.25901498501502,3.06772026113826
0.16,475.353246753242,793.123076923074,475.353246753242,793.123076923074,-13.4058561438562,-17.4782847318677,-4.01358641358624,-12,-4.01358641358624,-14,-8.84161638361623,-12.4,4.56423976023997,5.07828473186772
0.165,619.862337662334,800,619.862337662334,800,-13.9557142857143,-18.5092866967034,-4,-11.834165834164,-4,-13.8009990009968,-8.83,-12.3781098901097,5.12571428571427,6.13117680659375
0.17,643.797802197807,800,643.797802197807,800,-14.6141978021979,-19.0643626519481,3.92967032967197,-2,3.92967032967197,-2,-8.45334065934058,-11.08,6.16085714285736,7.98436265194807
0.175,690.539860139864,800,690.539860139864,800,-14.9467692307693,-19.3452507638361,4,-1.94165834165856,4,-1.97082917082928,-8.45,-11.0352227772229,6.49676923076926,8.3100279866132
0.18,648.130069930077,800,648.130069930077,800,-15.0401538461539,-19.7089680329669,4,2,6,0,-6.44,-8.01,8.60015384615385,11.6989680329669
0.185,740.988009592327,800,740.988009592327,800,-15.150135891287,-20.3636520665467,4.00319744204601,2.1007194244581,6.00239808153451,0.125899280572626,-6.43993605115908,-8.00017985611534,8.71019984012788,12.3634722104313
0.19,711.011990407673,800,711.011990407673,800,-15.489864108713,-20.6495284833167,11.996802557954,10,11.9976019184655,10,-6.28006394884092,-7.23,9.20980015987212,13.4195284833167
0.195,718.988811188813,800,718.988811188813,800,-15.3402097902097,-20.6070879022978,12,10.0431568431556,12,10.0431568431556,-6.28,-7.20259540459623,9.06020979020975,13.4044924977016
0.2,647.172627372616,800,647.172627372616,800,-15.1504555444555,-20.3399020979021,15.9904095904102,14,12,14,-4.49429170829141,-4.69,10.6561638361641,15.6499020979021
0.205,704.802997003,800,704.802997003,800,-14.9905434565434,-20.3283296615384,16,14.0703296703309,12,14.0527472527482,-4.49,-4.6803296703295,10.5005434565434,15.6479999912089
0.21,659.202197802185,800,659.202197802185,800,-15.0198681318681,-20.1377392675325,19.9824175824187,22,19.9648351648374,20,-4.03202197802185,-3.59,10.9878461538463,16.5477392675325
0.215,669.940659340661,800,669.940659340661,800,-14.5425894105893,-19.847010989011,20,22.0135864135862,20,20.0271728271725,-4.03,-3.57648151848169,10.5125894105893,16.2705294705293
0.22,581.569030969027,800,581.569030969027,800,-14.1524935064935,-19.408841153047,23.9744255744258,24,21.9872127872129,24,-2.48991008991002,-1.6,11.6625834165835,17.808841153047
