time,pwma,pwmb,pitch,motor_a_speed,motor_b_speed,target_speed,target_angle,running_success_flag
0,-51,-51,4.12,-8,-6,0,2.14,1
0.005005,-25,-25,4.04,-6,-6,0,1.31,1
0.01001,-83,-83,3.79,-6,-6,0,1.31,1
0.015014,-65,-65,3.56,-6,-6,0,1.55,1
0.020019,-31,-31,3.4,-6,-6,0,1.55,1
0.025024,-20,-20,3.41,-4,-6,0,1.53,1
0.030029,-25,-25,3.14,-4,-6,0,1.53,1
0.035034,5,5,2.85,-6,-6,0,1.77,1
0.040039,52,52,2.61,-6,-6,0,1.77,1
0.044983,65,65,2.34,-4,-4,0,1.48,1
0.049988,56,56,2.18,-4,-4,0,1.48,1
0.054992,58,58,2.01,-4,-4,0,1.99,1
0.059997,96,96,1.84,-4,-4,0,1.99,1
0.065002,97,97,1.52,-2,-4,0,1.98,1
0.070007,113,113,1.44,-2,-4,0,1.98,1
0.075012,105,105,1.42,0,0,0,2.23,1
0.080017,106,106,1.31,0,0,0,2.23,1
0.085022,99,99,1.15,0,0,0,3.03,1
0.090027,159,159,1.25,0,0,0,3.03,1
0.095032,136,136,1.32,0,2,0,3.03,1
0.100036,123,123,1.32,0,2,0,3.03,1
0.105041,123,123,1.08,2,2,0,3.3,1
0.109985,164,164,1.15,2,2,0,3.3,1
0.11499,148,148,1.14,4,4,0,3.57,1
0.119995,153,153,1.26,4,4,0,3.57,1
0.125,132,132,1.09,4,4,0,4.12,1
0.130005,187,187,1.13,4,4,0,4.12,1
0.13501,174,174,1.16,6,4,0,4.14,1
0.140014,152,152,1.41,6,4,0,4.14,1
0.145019,109,109,1.4,4,4,0,4.42,1
0.150024,120,120,1.83,4,4,0,4.42,1
0.155029,78,78,1.95,8,6,0,4.18,1
0.160034,47,47,2.17,8,6,0,4.18,1
0.165039,31,31,2.23,6,4,0,5,1
0.169983,92,92,2.33,6,4,0,5,1
0.174988,86,86,2.63,6,8,0,4.49,1
0.179992,16,16,2.88,6,8,0,4.49,1
0.184997,-8,-8,2.92,6,6,0,5.05,1
0.190002,37,37,3.15,6,6,0,5.05,1
0.195007,22,22,3.4,6,6,0,4.81,1
0.200012,-14,-14,3.62,6,6,0,4.81,1
0.205017,-30,-30,3.79,6,4,0,4.84,1
0.210022,-33,-33,3.97,6,4,0,4.84,1
0.215027,-44,-44,4.24,4,4,0,4.6,1
0.220032,-82,-82,4.47,4,4,0,4.6,1
0.225036,-92,-92,4.74,4,2,0,4.35,1
0.230041,-117,-117,4.83,4,2,0,4.35,1
0.234985,-104,-104,4.86,2,2,0,4.1,1
0.23999,-106,-106,4.94,2,2,0,4.1,1
0.244995,-100,-100,5.19,2,2,0,3.84,1
0.25,-130,-130,5.08,2,2,0,3.84,1
0.255005,-105,-105,5.06,0,0,0,3.85,1
0.26001,-91,-91,5.05,0,0,0,3.85,1
0.265014,-87,-87,5.17,0,0,0,3.32,1
0.270019,-136,-136,5.09,0,0,0,3.32,1
0.275024,-125,-125,5.06,-2,-4,0,3.32,1
0.280029,-124,-124,5.11,-2,-4,0,3.32,1
0.285034,-131,-131,5.35,-2,-2,0,2.51,1
0.290039,-205,-205,5.23,-2,-2,0,2.51,1
0.294983,-175,-175,5.09,-4,-4,0,2.76,1
0.299988,-114,-114,4.9,-4,-4,0,2.76,1
0.304992,-82,-82,4.97,-4,-4,0,2.21,1
0.309997,-124,-124,4.8,-4,-4,0,2.21,1
0.315002,-99,-99,4.72,-6,-6,0,2.2,1
0.320007,-80,-80,4.41,-6,-6,0,2.2,1
0.325012,-38,-38,4.36,-6,-6,0,1.64,1
0.330017,-67,-67,3.99,-6,-6,0,1.64,1
0.335022,-34,-34,3.7,-6,-8,0,1.61,1
0.340027,-14,-14,3.47,-6,-8,0,1.61,1
0.345032,-1,-1,3.29,-6,-4,0,1.32,1
0.350036,-16,-16,3.11,-6,-4,0,1.32,1
0.355041,-8,-8,2.85,-6,-6,0,1.83,1
0.359985,47,47,2.61,-6,-6,0,1.83,1
0.36499,59,59,2.42,-4,-4,0,1.54,1
0.369995,40,40,2.28,-4,-4,0,1.54,1
0.375,39,39,2.15,-2,-4,0,2.05,1
0.380005,77,77,2.01,-2,-4,0,2.05,1
0.38501,82,82,1.78,-2,-2,0,2.3,1
0.390014,114,114,1.65,-2,-2,0,2.3,1
0.395019,112,112,1.62,0,-2,0,2.56,1
0.400024,119,119,1.5,0,-2,0,2.56,1
0.405029,116,116,1.25,0,-2,0,2.82,1
0.410034,144,144,1.39,0,-2,0,2.82,1
0.415039,114,114,1.47,2,0,0,2.82,1
0.419983,94,94,1.46,2,0,0,2.82,1
0.424988,94,94,1.28,0,2,0,3.35,1
0.429992,150,150,1.32,0,2,0,3.35,1
0.434997,139,139,1.39,4,4,0,3.36,1
0.440002,119,119,1.52,4,4,0,3.36,1
0.445007,97,97,1.36,2,4,0,4.17,1
0.450012,171,171,1.41,2,4,0,4.17,1
0.455017,160,160,1.42,4,4,0,3.92,1
0.460022,120,120,1.68,4,4,0,3.92,1
0.465027,73,73,1.69,4,4,0,4.2,1
0.470032,84,84,2.01,4,4,0,4.2,1
0.475036,49,49,2.2,8,6,0,4.22,1
0.480041,29,29,2.48,8,6,0,4.22,1
0.484985,4,4,2.6,4,6,0,5.05,1
0.48999,62,62,2.77,4,6,0,5.05,1
0.494995,53,53,3.07,4,6,0,4.54,1
0.5,-7,-7,3.26,4,6,0,4.54,1
0.505005,-16,-16,3.28,4,6,0,4.56,1
0.51001,-5,-5,3.45,4,6,0,4.56,1
0.515014,-16,-16,3.65,4,4,0,4.58,1
0.520019,-32,-32,3.78,4,4,0,4.58,1
0.525024,-39,-39,4.04,6,4,0,4.33,1
0.530029,-74,-74,4.18,6,4,0,4.33,1
0.535034,-77,-77,4.3,2,2,0,4.62,1
0.540039,-50,-50,4.48,2,2,0,4.62,1
0.544983,-50,-50,4.75,2,2,0,3.83,1
0.549988,-115,-115,4.69,2,2,0,3.83,1
0.554992,-87,-87,4.64,0,0,0,3.84,1
0.559997,-63,-63,4.63,0,0,0,3.84,1
0.565002,-55,-55,4.79,0,-2,0,3.31,1
0.570007,-109,-109,4.66,0,-2,0,3.31,1
0.575012,-94,-94,4.6,-2,-2,0,3.04,1
0.580017,-111,-111,4.63,-2,-2,0,3.04,1
0.585022,-118,-118,4.8,0,-2,0,2.76,1
0.590027,-154,-154,4.75,0,-2,0,2.76,1
0.595032,-142,-142,4.77,-2,-4,0,3.02,1
0.600036,-111,-111,4.72,-2,-4,0,3.02,1
0.605041,-92,-92,4.86,-2,-4,0,2.48,1
0.609985,-133,-133,4.72,-2,-4,0,2.48,1
0.61499,-108,-108,4.62,-6,-4,0,2.47,1
0.619995,-85,-85,4.43,-6,-4,0,2.47,1
0.625,-55,-55,4.41,-6,-4,0,1.91,1
0.630005,-88,-88,4.18,-6,-4,0,1.91,1
0.63501,-64,-64,3.96,-6,-6,0,1.89,1
0.640014,-47,-47,3.77,-6,-6,0,1.89,1
0.645019,-30,-30,3.71,-4,-4,0,1.6,1
0.650024,-49,-49,3.49,-4,-4,0,1.6,1
0.655029,-32,-32,3.28,-6,-6,0,2.11,1
0.660034,25,25,3.09,-6,-6,0,2.11,1
0.665039,37,37,2.97,-4,-4,0,1.56,1
0.669983,-2,-2,2.83,-4,-4,0,1.56,1
0.674988,3,3,2.65,-4,-4,0,2.07,1
0.679992,52,52,2.46,-4,-4,0,2.07,1
0.684997,63,63,2.28,-2,-4,0,2.05,1
0.690002,68,68,2.17,-2,-4,0,2.05,1
0.695007,69,69,2.06,-2,-2,0,2.31,1
0.700012,90,90,1.93,-2,-2,0,2.31,1
0.705017,95,95,1.64,-2,0,0,2.56,1
0.710022,133,133,1.59,-2,0,0,2.56,1
0.715027,124,124,1.61,0,0,0,2.83,1
0.720032,127,127,1.52,0,0,0,2.83,1
0.725036,125,125,1.29,0,0,0,3.09,1
0.730041,155,155,1.42,0,0,0,3.09,1
0.734985,126,126,1.5,2,2,0,3.09,1
