time,pwma,pwmb,pitch,motor_a_speed,motor_b_speed,target_speed,target_angle,running_success_flag
0,0,0,1.28,0,0,0,0,1
0.005005,0,0,1.42,0,0,0,0,1
0.01001,0,0,1.56,0,0,0,0,1
0.015015,0,0,1.67,0,0,0,0,1
0.02002,-181,-181,1.76,0,0,0,0,1
0.025025,-182,-182,1.84,0,0,0,0,1
0.03003,-183,-183,1.92,0,0,0,0,1
0.035035,-184,-184,1.97,0,0,0,0,1
0.04004,-185,-185,2.03,0,0,0,0,1
0.045044,-187,-187,2.32,0,0,0,0,1
0.050049,-204,-204,2.38,0,0,0,0,1
0.054993,-184,-184,2.08,-4,-4,0,0,1
0.059998,-125,-125,1.86,-4,-4,0,0,1
0.065003,-96,-96,2.12,-2,-2,0,-1.08,1
0.070008,-216,-216,2.21,-2,-2,0,-1.08,1
0.075013,-210,-210,1.71,-6,-6,0,-0.56,1
0.080018,-88,-88,1.35,-6,-6,0,-0.56,1
0.085022,-46,-46,1.53,-4,-6,0,-1.65,1
0.090027,-169,-169,1.68,-4,-6,0,-1.65,1
0.095032,-180,-180,1.27,-6,-8,0,-1.4,1
0.100037,-84,-84,0.77,-6,-8,0,-1.4,1
0.105042,-17,-17,0.85,-6,-8,0,-1.96,1
0.110047,-82,-82,0.89,-6,-8,0,-1.96,1
0.114991,-86,-86,0.47,-8,-8,0,-1.99,1
0.119996,-20,-20,-0.04,-8,-8,0,-1.99,1
0.125,46,46,-0.39,-6,-8,0,-2.29,1
0.130005,41,41,-0.5,-6,-8,0,-2.29,1
0.13501,36,36,-0.78,-8,-8,0,-2.06,1
0.140015,78,78,-1.84,-8,-8,0,-2.06,1
0.14502,163,163,-2.45,-4,-6,0,-2.36,1
0.150025,187,187,-2.78,-4,-6,0,-2.36,1
0.15503,183,183,-2.78,-4,-4,0,-1.58,1
0.160035,214,214,-2.98,-4,-4,0,-1.58,1
0.16504,217,217,-3.49,-2,-2,0,-1.33,1
0.170044,268,268,-3.65,-2,-2,0,-1.33,1
0.175049,249,249,-3.57,0,2,0,-0.81,1
0.179993,244,244,-3.65,0,2,0,-0.81,1
0.184998,227,227,-3.8,0,0,0,-0.01,1
0.190003,279,279,-3.61,0,0,0,-0.01,1
0.195008,234,234,-3.46,6,4,0,-0.28,1
0.200013,185,185,-3.35,6,4,0,-0.28,1
