time,pwma,pwmb,pitch,motor_a_speed,motor_b_speed,target_speed,target_angle,running_success_flag,angle_error
24.334961,34,34,3.87,2,0,40,4.18,1,0.31
24.339966,37,37,3.79,2,0,40,4.18,1,0.39
24.344971,44,44,3.83,0,2,40,4.45,1,0.62
24.349976,60,60,3.81,0,2,40,4.45,1,0.64
24.354981,62,62,3.78,2,0,40,-6.35,1,-10.13
24.359986,-742,-742,3.62,2,0,40,-6.35,1,-9.97
24.364991,-727,-727,3.73,2,0,40,-6.51,1,-10.24
24.369996,-754,-754,3.7,2,0,40,-6.51,1,-10.21
24.375,-752,-752,3.67,2,2,40,-6.68,1,-10.35
24.380005,-758,-758,3.75,2,2,40,-6.68,1,-10.43
24.38501,-762,-762,3.83,0,0,40,-6.58,1,-10.41
24.390015,-748,-748,3.86,0,0,40,-6.58,1,-10.44
24.39502,-725,-725,4.18,-10,-10,40,-7.28,1,-11.46
24.400025,-775,-775,4.17,-10,-10,40,-7.28,1,-11.45
24.40503,-706,-706,3.82,-12,-14,40,-10.15,1,-13.97
24.410035,-748,-748,3.02,-12,-14,40,-10.15,1,-13.17
24.41504,-556,-556,2.06,-20,-22,40,-11.18,1,-13.24
24.420044,-472,-472,1.26,-20,-22,40,-11.18,1,-12.44
24.425049,-359,-359,0.38,-22,-24,40,-13.57,1,-13.95
24.430054,-438,-438,-0.33,-22,-24,40,-13.57,1,-13.24
24.435059,-346,-346,-1.48,-26,-28,40,-14.37,1,-12.89
24.440064,-270,-270,-2.75,-26,-28,40,-14.37,1,-11.62
24.445069,-131,-131,-3.72,-26,-28,40,-15,1,-11.28
24.450074,-84,-84,-5.18,-26,-28,40,-15,1,-9.82
24.455079,36,36,-6.5,-28,-28,40,-15,1,-8.5
24.459961,141,141,-7.86,-28,-28,40,-15,1,-7.14
24.464966,245,245,-9.47,-22,-26,40,-15,1,-5.53
24.469971,367,367,-11.02,-22,-26,40,-15,1,-3.98
24.474976,473,473,-12.33,-20,-20,40,-15,1,-2.67
24.479981,519,519,-13.53,-20,-20,40,-15,1,-1.47
24.484986,547,547,-14.61,-14,-18,40,-14.97,1,-0.360000000000001
24.489991,576,576,-15.77,-14,-18,40,-14.97,1,0.799999999999999
24.494996,610,610,-16.559999,-6,-8,40,-14.15,1,2.409999
24.5,655,655,-16.969999,-6,-8,40,-14.15,1,2.819999
24.505005,604,604,-17.66,-2,-6,40,-11.96,1,5.7
24.51001,774,774,-18.49,-2,-6,40,-11.96,1,6.53
24.515015,800,800,-18.92,8,4,40,-11.36,1,7.56
24.52002,800,800,-19.01,8,4,40,-11.36,1,7.65
24.525025,721,721,-19,8,4,40,-8.84,1,10.16
24.53003,800,800,-19.450001,8,4,40,-8.84,1,10.610001
24.535035,800,800,-19.84,16,14,40,-8.99,1,10.85
24.54004,800,800,-19.700001,16,14,40,-8.99,1,10.710001
24.545044,760,760,-19.35,20,18,40,-6.71,1,12.64
24.550049,800,800,-19.209999,20,18,40,-6.71,1,12.499999
24.555054,777,777,-19.08,26,24,40,-5.73,1,13.35
24.560059,800,800,-18.59,26,24,40,-5.73,1,12.86
24.565064,710,710,-17.950001,28,26,40,-4.2,1,13.750001
24.570069,725,725,-17.49,28,26,40,-4.2,1,13.29
24.575074,664,664,-17.07,34,32,40,-3.73,1,13.34
24.580079,643,643,-16.379999,34,32,40,-3.73,1,12.649999
24.584961,545,545,-15.57,36,34,40,-2.17,1,13.4
24.589966,564,564,-15.03,36,34,40,-2.17,1,12.86
24.594971,505,505,-14,40,38,40,-1.66,1,12.34
24.599976,445,445,-13.14,40,38,40,-1.66,1,11.48
24.604981,358,358,-12.28,40,36,40,-0.6,1,11.68
24.609986,370,370,-11.45,40,36,40,-0.6,1,10.85
24.614991,306,306,-10.45,42,40,40,-0.87,1,9.58
24.619996,203,203,-9.47,42,40,40,-0.87,1,8.6
24.625,134,134,-8.83,38,36,40,-0.07,1,8.76
24.630005,163,163,-7.85,38,36,40,-0.07,1,7.78
24.63501,106,106,-6.92,38,38,40,-1.15,1,5.77
24.640015,-21,-21,-6.26,38,38,40,-1.15,1,5.11
24.64502,-34,-34,-5.36,34,34,40,-0.89,1,4.47
24.650025,-47,-47,-4.74,34,34,40,-0.89,1,3.85
24.65503,-55,-55,-4.15,30,28,40,-1.98,1,2.17
24.660035,-134,-134,-3.48,30,28,40,-1.98,1,1.5
24.66504,-138,-138,-3.17,26,24,40,-3.35,1,-0.18
24.670044,-209,-209,-2.79,26,24,40,-3.35,1,-0.56
24.675049,-177,-177,-2.56,22,22,40,-4.48,1,-1.92
24.680054,-224,-224,-2.39,22,22,40,-4.48,1,-2.09
24.685059,-179,-179,-2.39,16,18,40,-5.35,1,-2.96
24.690064,-181,-181,-2.46,16,18,40,-5.35,1,-2.89
24.695069,-109,-109,-2.76,12,12,40,-6.78,1,-4.02
24.700074,-130,-130,-2.89,12,12,40,-6.78,1,-3.89
24.705079,-65,-65,-3.39,10,8,40,-8.23,1,-4.84
24.709961,-79,-79,-3.84,10,8,40,-8.23,1,-4.39
24.714966,9,9,-4.32,6,6,40,-9.16,1,-4.84
24.719971,20,20,-5.02,6,6,40,-9.16,1,-4.14
24.724976,115,115,-5.72,6,4,40,-10.1,1,-4.38
24.729981,133,133,-6.59,6,4,40,-10.1,1,-3.51
24.734986,224,224,-7.43,6,4,40,-10.52,1,-3.09
24.739991,270,270,-8.26,6,4,40,-10.52,1,-2.26
24.744996,332,332,-9.33,6,6,40,-10.67,1,-1.34
24.75,395,395,-10.22,6,6,40,-10.67,1,-0.449999999999999
24.755005,441,441,-10.65,6,6,40,-10.55,1,0.0999999999999996
24.76001,456,456,-11.43,6,6,40,-10.55,1,0.879999999999999
24.765015,507,507,-12.37,6,6,40,-10.7,1,1.67
24.77002,579,579,-13.33,6,6,40,-10.7,1,2.63
24.775025,639,639,-13.89,14,14,40,-10.84,1,3.05
24.78003,620,620,-14.16,14,14,40,-10.84,1,3.32
24.785035,594,594,-14.64,14,12,40,-8.83,1,5.81
24.79004,772,772,-15.52,14,12,40,-8.83,1,6.69
24.795044,800,800,-16.040001,20,20,40,-9.21,1,6.830001
24.800049,800,800,-16.440001,20,20,40,-9.21,1,7.230001
24.805054,793,793,-16.65,22,20,40,-7.44,1,9.21
24.810059,800,800,-17.120001,22,20,40,-7.44,1,9.680001
24.815064,800,800,-17.66,28,26,40,-7.25,1,10.41
24.820069,800,800,-17.690001,28,26,40,-7.25,1,10.440001
24.825074,800,800,-17.719999,30,28,40,-5.72,1,11.999999
24.830079,800,800,-17.91,30,28,40,-5.72,1,12.19
24.834961,800,800,-18.01,36,34,40,-5.23,1,12.78
24.839966,800,800,-17.98,36,34,40,-5.23,1,12.75
24.844971,800,800,-17.92,36,34,40,-3.66,1,14.26
24.849976,800,800,-17.860001,36,34,40,-3.66,1,14.200001
24.854981,800,800,-17.780001,40,40,40,-3.68,1,14.100001
