time,pwma,pwmb,pitch,motor_a_speed,motor_b_speed,target_speed,target_angle,running_success_flag,angle_error
17.119995,-82,-82,4.6,2,2,30,4.66,1,0.0600000000000005
17.125,-57,-57,4.67,2,2,30,4.66,1,-0.00999999999999979
17.130005,-47,-47,4.78,0,0,30,4.09,1,-0.69
17.13501,-85,-85,4.91,0,0,30,4.09,1,-0.82
17.140015,-80,-80,4.78,0,0,30,-5.22,1,-10
17.144897,-752,-752,4.72,0,0,30,-5.22,1,-9.94
17.149902,-739,-739,4.71,0,-2,30,-5.31,1,-10.02
17.154907,-748,-748,4.93,0,-2,30,-5.31,1,-10.24
17.159912,-771,-771,5.04,-2,-4,30,-5.68,1,-10.72
17.164917,-799,-799,5.36,-2,-4,30,-5.68,1,-11.04
17.169922,-800,-800,5.48,-10,-12,30,-6.36,1,-11.84
17.174927,-800,-800,5.26,-10,-12,30,-6.36,1,-11.62
17.179932,-684,-684,4.74,-14,-16,30,-8.78,1,-13.52
17.184936,-698,-698,4.17,-14,-16,30,-8.78,1,-12.95
17.189941,-571,-571,3.47,-20,-24,30,-10.06,1,-13.53
17.194946,-542,-542,2.75,-20,-24,30,-10.06,1,-12.81
17.199951,-427,-427,1.87,-24,-24,30,-12.23,1,-14.1
17.204956,-457,-457,1.03,-24,-24,30,-12.23,1,-13.26
17.209961,-353,-353,-0.21,-30,-32,30,-12.96,1,-12.75
17.214966,-244,-244,-1.26,-30,-32,30,-12.96,1,-11.7
17.219971,-130,-130,-2.35,-28,-32,30,-15,1,-12.65
17.224976,-183,-183,-3.66,-28,-32,30,-15,1,-11.34
17.22998,-76,-76,-5.09,-32,-34,30,-15,1,-9.91
17.234985,36,36,-6.05,-32,-34,30,-15,1,-8.95
17.23999,110,110,-7.48,-30,-32,30,-15,1,-7.52
17.244995,219,219,-8.7,-30,-32,30,-15,1,-6.3
17.25,310,310,-10.25,-28,-28,30,-15,1,-4.75
17.255005,427,427,-12.02,-28,-28,30,-15,1,-2.98
17.26001,560,560,-13.31,-20,-22,30,-14.99,1,-1.68
17.265015,620,620,-14.45,-20,-22,30,-14.99,1,-0.540000000000001
17.269897,626,626,-15.18,-18,-18,30,-13.12,1,2.06
17.274902,755,755,-16.15,-18,-18,30,-13.12,1,3.03
17.279907,793,793,-17.459999,-12,-14,30,-12.4,1,5.059999
17.284912,800,800,-18.5,-12,-14,30,-12.4,1,6.1
17.289917,800,800,-19.059999,-2,-2,30,-11.08,1,7.979999
17.294922,800,800,-19.34,-2,-2,30,-11.08,1,8.26
17.299927,800,800,-19.700001,2,0,30,-8.01,1,11.690001
17.304932,800,800,-20.360001,2,0,30,-8.01,1,12.350001
17.309936,800,800,-20.65,10,10,30,-7.23,1,13.42
17.314941,800,800,-20.610001,10,10,30,-7.23,1,13.380001
17.319946,800,800,-20.34,14,14,30,-4.69,1,15.65
17.324951,800,800,-20.33,14,14,30,-4.69,1,15.64
17.329956,800,800,-20.139999,22,20,30,-3.59,1,16.549999
17.334961,800,800,-19.85,22,20,30,-3.59,1,16.26
17.339966,800,800,-19.41,24,24,30,-1.6,1,17.81
17.344971,800,800,-19.209999,24,24,30,-1.6,1,17.609999
17.349976,800,800,-18.690001,32,30,30,-0.75,1,17.940001
