time,pwma,pwmb,pitch,motor_a_speed,motor_b_speed,target_speed,target_angle,running_success_flag,angle_error
0,0,0,10.98,0,0,0,0,1,-10.98
0.005004,0,0,11,0,0,0,0,1,-11
0.010009,0,0,11.02,0,0,0,0,1,-11.02
0.015014,0,0,11.03,0,0,0,0,1,-11.03
0.020019,-800,-800,11.04,0,0,0,0,1,-11.04
0.025024,-800,-800,11.06,0,0,0,0,1,-11.06
0.030029,-800,-800,11.08,0,0,0,0,1,-11.08
0.035034,-800,-800,11.1,0,0,0,0,1,-11.1
0.040039,-800,-800,11.12,0,0,0,0,1,-11.12
0.045043,-800,-800,11.42,0,0,0,0,1,-11.42
0.050048,-800,-800,11.56,-6,-8,0,0,1,-11.56
0.055053,-800,-800,11.55,-6,-8,0,0,1,-11.55
0.060058,-798,-798,11.07,-14,-14,0,-2.53,1,-13.6
0.065063,-681,-681,10.69,-14,-14,0,-2.53,1,-13.22
0.070068,-774,-774,10.22,-20,-20,0,-5.05,1,-15.27
0.075073,-701,-701,9.81,-20,-20,0,-5.05,1,-14.86
0.080078,-800,-800,9.09,-24,-24,0,-7.22,1,-16.31
0.085083,-725,-725,8.22,-24,-24,0,-7.22,1,-15.44
0.089965,-775,-775,7.43,-28,-30,0,-8.66,1,-16.09
0.09497,-682,-682,6.81,-28,-30,0,-8.66,1,-15.47
0.099975,-718,-718,5.77,-30,-30,0,-10.47,1,-16.24
0.10498,-603,-603,5.04,-30,-30,0,-10.47,1,-15.51
0.109985,-653,-653,4.15,-32,-36,0,-10.83,1,-14.98
0.11499,-573,-573,3.37,-32,-36,0,-10.83,1,-14.2
0.119995,-526,-526,2.17,-32,-34,0,-12.27,1,-14.44
0.125,-416,-416,1.27,-32,-34,0,-12.27,1,-13.54
0.130004,-445,-445,0.31,-38,-38,0,-11.91,1,-12.22
0.135009,-372,-372,-0.6,-38,-38,0,-11.91,1,-11.31
0.140014,-275,-275,-1.75,-34,-36,0,-13.72,1,-11.97
0.145019,-181,-181,-2.79,-34,-36,0,-13.72,1,-10.93
0.150024,-244,-244,-3.75,-36,-38,0,-12.64,1,-8.89
0.155029,-191,-191,-4.52,-36,-38,0,-12.64,1,-8.12
0.160034,-69,-69,-5.7,-32,-34,0,-13.36,1,-7.66
0.165039,9,9,-6.4,-32,-34,0,-13.36,1,-6.96
0.170043,-16,-16,-7.36,-30,-32,0,-11.91,1,-4.55
0.175048,35,35,-8.24,-30,-32,0,-11.91,1,-3.67
0.180053,182,182,-8.86,-26,-28,0,-11.19,1,-2.33
0.185058,196,196,-9.64,-26,-28,0,-11.19,1,-1.55
0.190063,278,278,-10.23,-20,-24,0,-9.75,1,0.48
0.195068,289,289,-10.63,-20,-24,0,-9.75,1,0.880000000000001
0.200073,381,381,-11.13,-18,-20,0,-7.94,1,3.19
0.205078,373,373,-11.58,-18,-20,0,-7.94,1,3.64
0.210083,498,498,-11.74,-10,-12,0,-6.86,1,4.88
0.214965,463,463,-11.97,-10,-12,0,-6.86,1,5.11
0.21997,512,512,-11.78,-10,-12,0,-3.97,1,7.81
0.224975,455,455,-11.96,-10,-12,0,-3.97,1,7.99
0.22998,663,663,-12.27,0,-2,0,-3.97,1,8.3
0.234985,668,668,-12.1,0,-2,0,-3.97,1,8.13
0.23999,609,609,-11.87,2,0,0,-0.36,1,11.51
0.244995,533,533,-11.65,2,0,0,-0.36,1,11.29
0.25,752,752,-11.46,8,8,0,0.36,1,11.82
0.255004,718,718,-11.43,8,8,0,0.36,1,11.79
0.260009,744,744,-10.93,12,12,0,2.89,1,13.82
0.265014,648,648,-10.41,12,12,0,2.89,1,13.3
0.270019,748,748,-10.06,18,18,0,4.33,1,14.39
0.275024,695,695,-9.78,18,18,0,4.33,1,14.11
0.280029,761,761,-9.03,22,22,0,6.5,1,15.53
0.285034,659,659,-8.41,22,22,0,6.5,1,14.91
0.290039,729,729,-7.59,26,26,0,7.94,1,15.53
0.295043,639,639,-7.13,26,26,0,7.94,1,15.07
0.300048,694,694,-6.15,28,26,0,9.39,1,15.54
0.305053,587,587,-5.31,28,26,0,9.39,1,14.7
0.310058,598,598,-4.41,32,32,0,9.75,1,14.16
0.315063,515,515,-3.7,32,32,0,9.75,1,13.45
0.320068,479,479,-2.55,32,32,0,11.55,1,14.1
0.325073,369,369,-1.63,32,32,0,11.55,1,13.18
0.330078,416,416,-0.66,36,36,0,11.55,1,12.21
0.335083,344,344,0.37,36,36,0,11.55,1,11.18
0.339965,265,265,1.55,32,32,0,13,1,11.45
0.34497,173,173,2.5,32,32,0,13,1,10.5
0.349975,219,219,3.55,36,34,0,11.55,1,8
0.35498,161,161,4.56,36,34,0,11.55,1,6.99
0.359985,-4,-4,5.58,32,30,0,12.64,1,7.06
0.36499,-63,-63,6.43,32,30,0,12.64,1,6.21
0.369995,-19,-19,7.29,28,28,0,11.19,1,3.9
0.375,-50,-50,8.03,28,28,0,11.19,1,3.16
0.380004,-178,-178,8.7,24,22,0,10.11,1,1.41
0.385009,-184,-184,9.31,24,22,0,10.11,1,0.799999999999999
0.390014,-265,-265,9.78,18,20,0,8.3,1,-1.48
0.395019,-251,-251,10.17,18,20,0,8.3,1,-1.87
0.400024,-366,-366,10.41,16,16,0,6.86,1,-3.55
0.405029,-332,-332,10.75,16,16,0,6.86,1,-3.89
0.410034,-420,-420,10.72,10,10,0,5.78,1,-4.94
0.415039,-362,-362,10.75,10,10,0,5.78,1,-4.97
0.420043,-394,-394,10.52,8,6,0,3.61,1,-6.91
0.425048,-328,-328,10.58,8,6,0,3.61,1,-6.97
0.430053,-460,-460,10.53,0,-2,0,2.53,1,-8
0.435058,-426,-426,10.27,0,-2,0,2.53,1,-7.74
0.440063,-434,-434,9.66,0,0,0,-0.36,1,-10.02
0.445068,-325,-325,9.4,0,0,0,-0.36,1,-9.76
0.450073,-497,-497,9.06,-8,-8,0,0,1,-9.06
0.455078,-455,-455,8.59,-8,-8,0,0,1,-8.59
0.460083,-368,-368,7.89,-6,-8,0,-2.89,1,-10.78
0.464965,-273,-273,7.4,-6,-8,0,-2.89,1,-10.29
0.46997,-426,-426,6.88,-14,-14,0,-2.53,1,-9.41
0.474975,-367,-367,6.28,-14,-14,0,-2.53,1,-8.81
0.47998,-277,-277,5.36,-12,-14,0,-5.05,1,-10.41
0.484985,-169,-169,4.73,-12,-14,0,-5.05,1,-9.78
0.48999,-290,-290,3.94,-16,-18,0,-4.69,1,-8.63
0.494995,-213,-213,3.14,-16,-18,0,-4.69,1,-7.83
0.5,-119,-119,2.06,-14,-16,0,-6.14,1,-8.2
0.505004,-25,-25,1.4,-14,-16,0,-6.14,1,-7.54
0.510009,-86,-86,0.53,-16,-18,0,-5.42,1,-5.95
0.515014,-23,-23,-0.24,-16,-18,0,-5.42,1,-5.18
0.520019,80,80,-1.33,-14,-16,0,-6.14,1,-4.81
0.525024,155,155,-2.17,-14,-16,0,-6.14,1,-3.97
0.530029,141,141,-3.01,-12,-12,0,-5.42,1,-2.41
0.535034,166,166,-3.76,-12,-12,0,-5.42,1,-1.66
0.540039,241,241,-4.37,-12,-10,0,-4.33,1,0.04
0.545043,248,248,-5.24,-12,-10,0,-4.33,1,0.91
0.550048,356,356,-5.61,-4,-6,0,-3.97,1,1.64
0.555053,334,334,-6.03,-4,-6,0,-3.97,1,2.06
0.560058,336,336,-6.29,-4,-6,0,-1.81,1,4.48
0.565063,314,314,-6.73,-4,-6,0,-1.81,1,4.92
0.570068,472,472,-6.91,4,2,0,-1.81,1,5.1
0.575073,438,438,-6.9,4,2,0,-1.81,1,5.09
0.580078,382,382,-6.66,4,2,0,1.08,1,7.74
0.585083,312,312,-6.84,4,2,0,1.08,1,7.92
0.589965,509,509,-6.96,10,8,0,1.08,1,8.04
0.59497,484,484,-6.69,10,8,0,1.08,1,7.77
0.599975,400,400,-6.01,10,8,0,3.25,1,9.26
0.60498,277,277,-5.57,10,8,0,3.25,1,8.82
0.609985,371,371,-5.04,16,16,0,3.25,1,8.29
0.61499,314,314,-4.59,16,16,0,3.25,1,7.84
0.619995,262,262,-4.05,16,14,0,5.78,1,9.83
0.625,196,196,-3.45,16,14,0,5.78,1,9.23
