I0,I1,I2,I3,I4,I5,I6,I7,I8
1039.802002,27.000000,27.000000,2.920000,0.000000,0.000000,0.000000,3.240000,1.000000
1039.807007,25.000000,25.000000,2.990000,0.000000,0.000000,0.000000,3.240000,1.000000
1039.812012,14.000000,14.000000,3.020000,0.000000,0.000000,0.000000,3.240000,1.000000
1039.817017,11.000000,11.000000,3.020000,0.000000,0.000000,0.000000,3.240000,1.000000
1039.822021,15.000000,15.000000,2.990000,0.000000,2.000000,0.000000,3.240000,1.000000
1039.827026,20.000000,20.000000,3.020000,0.000000,2.000000,0.000000,3.240000,1.000000
1039.832031,17.000000,17.000000,3.040000,2.000000,0.000000,0.000000,3.500000,1.000000
1039.837036,16.000000,16.000000,3.040000,2.000000,0.000000,0.000000,3.500000,1.000000
1039.842041,40.000000,40.000000,3.000000,0.000000,0.000000,0.000000,3.500000,1.000000
1039.847046,47.000000,47.000000,3.030000,0.000000,0.000000,0.000000,3.500000,1.000000
1039.852051,44.000000,44.000000,3.040000,0.000000,0.000000,0.000000,3.250000,1.000000
1039.857056,44.000000,44.000000,3.020000,0.000000,0.000000,0.000000,3.250000,1.000000
1039.862061,26.000000,26.000000,2.930000,2.000000,2.000000,0.000000,3.250000,1.000000
1039.866943,36.000000,36.000000,3.030000,2.000000,2.000000,0.000000,3.250000,1.000000
1039.871948,24.000000,24.000000,3.010000,2.000000,2.000000,0.000000,3.770000,1.000000
1039.876953,26.000000,26.000000,2.980000,2.000000,2.000000,0.000000,3.770000,1.000000
1039.881958,78.000000,78.000000,2.940000,2.000000,0.000000,0.000000,3.770000,1.000000
1039.886963,83.000000,83.000000,2.960000,2.000000,0.000000,0.000000,3.770000,1.000000
1039.891968,79.000000,79.000000,2.950000,2.000000,0.000000,0.000000,3.510000,1.000000
1039.896973,79.000000,79.000000,2.940000,2.000000,0.000000,0.000000,3.510000,1.000000
1039.901978,59.000000,59.000000,2.760000,2.000000,2.000000,0.000000,3.510000,1.000000
1039.906982,74.000000,74.000000,2.840000,2.000000,2.000000,0.000000,3.510000,1.000000
1039.911987,59.000000,59.000000,2.840000,2.000000,0.000000,0.000000,3.780000,1.000000
1039.916992,48.000000,48.000000,2.890000,2.000000,0.000000,0.000000,3.780000,1.000000
1039.921997,55.000000,55.000000,2.840000,2.000000,2.000000,0.000000,3.520000,1.000000
1039.927002,57.000000,57.000000,2.890000,2.000000,2.000000,0.000000,3.520000,1.000000
1039.932007,28.000000,28.000000,2.900000,2.000000,2.000000,0.000000,3.780000,1.000000
1039.937012,22.000000,22.000000,3.000000,2.000000,2.000000,0.000000,3.780000,1.000000
1039.942017,28.000000,28.000000,3.070000,2.000000,4.000000,0.000000,3.780000,1.000000
1039.947021,21.000000,21.000000,3.130000,2.000000,4.000000,0.000000,3.780000,1.000000
1039.952026,21.000000,21.000000,3.130000,2.000000,2.000000,0.000000,4.050000,1.000000
1039.957031,26.000000,26.000000,3.190000,2.000000,2.000000,0.000000,4.050000,1.000000
1039.962036,44.000000,44.000000,3.210000,2.000000,2.000000,0.000000,3.790000,1.000000
