time,pitch,target_angle,pwma,motor_a_speed,target_speed,running_success_flag,e,ec,ec_raw
0,54.349998,0,0,0,0,1,-5.44,-1.45,-1.21
0.005005,54,0,0,0,0,1,-5.4,-1.46,-1.22
0.009949,53.650002,0,-800,0,0,1,-5.37,-1.47,-1.23
0.014954,53.290001,0,-800,0,0,1,-5.33,-1.46,-1.22
0.019958,52.93,0,-800,0,0,1,-5.29,-1.45,-1.21
0.024963,52.57,0,-800,0,0,1,-5.26,-1.43,-1.2
0.029968,52.32,0,-800,-2,0,1,-5.23,-1.67,-1.39
0.034973,51.98,0,-800,-2,0,1,-5.2,-2.11,-1.75
0.039978,51.5,-0.93,-800,-12,0,1,-5.15,-2.97,-2.47
0.044983,50.84,-0.93,-800,-12,0,1,-5.18,-3.5,-2.91
0.049988,50.009998,-5.13,-800,-16,0,1,-5.09,-4.13,-3.44
0.054993,49.099998,-5.13,-800,-16,0,1,-5.42,-4.42,-3.69
0.059997,48.110001,-7.07,-800,-22,0,1,-5.32,-5.11,-4.26
0.065002,47,-7.07,-800,-22,0,1,-5.41,-5.23,-4.36
0.069946,45.860001,-9.96,-800,-26,0,1,-5.29,-5.23,-4.36
0.074951,44.779999,-9.96,-800,-26,0,1,-5.47,-5.23,-4.36
0.079956,43.709999,-11.5,-800,-30,0,1,-5.37,-5.23,-4.36
0.084961,42.630001,-11.5,-800,-30,0,1,-5.41,-5.23,-4.36
0.089966,41.599998,-14,-800,-32,0,1,-5.31,-5.23,-4.36
0.094971,40.459999,-14,-800,-32,0,1,-5.45,-5.23,-4.36
0.099976,39.41,-15.13,-800,-38,0,1,-5.34,-5.23,-4.36
0.10498,38.34,-15.13,-800,-38,0,1,-5.35,-5.23,-4.36
0.109985,37.209999,-18,-800,-40,0,1,-5.23,-5.23,-4.36
0.11499,36.16,-18,-800,-40,0,1,-5.42,-5.23,-4.36
0.119995,35.169998,-18,-800,-44,0,1,-5.32,-5.23,-4.36
0.125,34.130001,-18,-800,-44,0,1,-5.21,-5.23,-4.36
