time,pwma,pwmb,pitch,motor_a_speed,motor_b_speed,target_speed,target_angle,running_success_flag,angle_error,e,ec
0,0,0,-0.36,0,0,0,0,1,0,0.04,0.18
0.005,0,0,-0.46,0,0,0,0,1,0,0.05,0.19
0.01,33,33,-0.54,0,0,0,0,1,0,0.05,0.16
0.015,39,39,-0.63,0,0,0,0,1,0,0.06,0.17
0.02,45,45,-0.71,0,0,0,0,1,0,0.07,0.16
0.025,51,51,-0.78,0,0,0,0,1,0,0.08,0.14
0.03,57,57,-0.81,0,0,0,0,1,0,0.08,0.06
0.035,60,60,-0.89,0,0,0,0,1,0,0.09,0.15
0.04,64,64,-0.89,2,0,0,0,1,0,0.09,0.01
0.045,66,66,-0.95,2,0,0,0,1,0,0.1,0.12
0.05,69,69,-0.99,2,2,0,0,1,0,0.1,0.09
0.055,73,73,-1.04,2,2,0,0,1,0,0.1,0.09
0.06,76,76,-1.05,2,0,0,0,1,0,0.1,0.02
0.065,78,78,-1.12,2,0,0,0,1,0,0.11,0.14
0.07,81,81,-1.18,2,2,0,0,1,0,0.12,0.13
0.075,86,86,-1.23,2,2,0,0,1,0,0.12,0.09
0.08,90,90,-1.02,2,2,0,0,1,0,0.1,-0.41
0.085,75,75,-0.94,2,2,0,0,1,0,0.09,-0.17
0.09,70,70,-0.93,4,4,0,0,1,0,0.09,-0.02
0.095,69,69,-0.79,4,4,0,0,1,0,0.08,-0.27
0.1,58,58,-0.66,4,2,0,0,1,0,0.07,-0.26
0.105,49,49,-0.62,4,2,0,0,1,0,0.06,-0.08
0.11,46,46,-0.59,4,4,0,0,1,0,0.06,-0.05
0.115,44,44,-0.49,4,4,0,0,1,0,0.05,-0.21
0.12,36,36,-0.23,2,2,0,0,1,0,0.02,-0.51
0.125,17,17,-0.08,2,2,0,0,1,0,0.01,-0.31
0.13,5,5,0.09,2,2,0,0,1,0,-0.01,-0.34
0.135,-8,-8,0.2,2,2,0,0,1,0,-0.02,-0.21
0.14,-16,-16,0.35,2,2,0,0,1,0,-0.04,-0.31
0.145,-28,-28,0.77,2,2,0,0,1,0,-0.08,-0.83
0.15,-69,-69,0.94,2,2,0,0,1,0,-0.09,-0.34
0.155,-75,-75,1.07,2,2,0,0,1,0,-0.11,-0.26
0.16,-86,-86,1.14,2,0,0,0,1,0,-0.11,-0.14
0.165,-90,-90,1.23,2,0,0,0,1,0,-0.12,-0.17
0.17,-97,-97,1.44,0,-2,0,0,1,0,-0.14,-0.42
0.175,-118,-118,1.44,0,-2,0,0,1,0,-0.14,-0.01
0.18,-112,-112,1.55,-2,-2,0,0,1,0,-0.15,-0.21
0.185,-124,-124,1.58,-2,-2,0,0,1,0,-0.16,-0.06
0.19,-124,-124,1.76,-4,-2,0,0,1,0,-0.18,-0.37
