time,pwma,pwmb,pitch,motor_a_speed,motor_b_speed,target_speed,target_angle,running_success_flag
302.244995,-19,-19,2.07,4,4,0,1.93,1
302.25,-40,-40,2.03,4,4,0,1.93,1
302.255005,-35,-35,2.11,2,2,0,1.93,1
302.26001,-42,-42,2.21,2,2,0,1.93,1
302.265015,-40,-40,2.18,2,2,0,0.97,1
302.269989,-82,-82,2.18,2,2,0,0.97,1
302.274994,-49,-49,2.13,0,0,0,0.97,1
302.279999,-20,-20,2.04,0,0,0,0.97,1
302.285004,10,10,1.94,0,0,0,0.02,1
302.290009,-33,-33,1.88,0,0,0,0.02,1
302.295013,-7,-7,1.68,-2,0,0,0.02,1
302.299988,24,24,1.54,-2,0,0,0.02,1
302.304993,48,48,1.41,0,0,0,-0.46,1
302.309998,25,25,1.24,0,0,0,-0.46,1
302.315002,40,40,1.06,0,0,0,0.02,1
302.320007,93,93,0.85,0,0,0,0.02,1
302.325012,107,107,0.77,0,0,0,0.02,1
302.329987,107,107,0.5,0,0,0,0.02,1
302.334991,131,131,0.3,2,2,0,0.02,1
302.339996,144,144,0.15,2,2,0,0.02,1
302.345001,135,135,-0.07,0,2,0,0.97,1
302.350006,211,211,-0.32,0,2,0,0.97,1
302.355011,198,198,-0.2,4,4,0,0.49,1
302.359985,97,97,-0.25,4,4,0,0.49,1
302.36499,194,194,-0.4,2,4,0,1.93,1
302.369995,187,187,-0.57,2,4,0,1.93,1
302.375,77,77,-0.42,4,6,0,1.45,1
302.380005,10,10,-0.27,4,6,0,1.45,1
302.38501,58,58,-0.12,6,6,0,2.41,1
302.390015,39,39,-0.04,6,6,0,2.41,1
302.394989,58,58,0.13,8,6,0,2.88,1
302.399994,28,28,0.29,8,6,0,2.88,1
302.404999,37,37,0.57,6,6,0,3.36,1
302.410004,33,33,0.79,6,6,0,3.36,1
302.415009,5,5,0.95,6,6,0,2.89,1
302.420013,24,24,1.06,6,6,0,2.89,1
302.424988,42,42,1.1,6,6,0,2.89,1
302.429993,56,56,1.08,6,6,0,2.89,1
302.434998,46,46,1.18,4,6,0,2.89,1
302.440002,40,40,1.23,4,6,0,2.89,1
302.445007,-6,-6,1.37,4,4,0,2.41,1
302.450012,1,1,1.37,4,4,0,2.41,1
302.454987,-46,-46,1.49,2,4,0,1.93,1
302.459991,-56,-56,1.6,2,4,0,1.93,1
302.464996,-88,-88,1.65,4,4,0,1.45,1
302.470001,-75,-75,1.71,4,4,0,1.45,1
302.475006,-25,-25,1.74,4,2,0,1.93,1
302.480011,-16,-16,1.78,4,2,0,1.93,1
302.484985,-36,-36,1.76,0,0,0,1.46,1
302.48999,-20,-20,1.83,0,0,0,1.46,1
302.494995,-105,-105,1.73,0,0,0,0.02,1
302.5,-105,-105,1.67,0,0,0,0.02,1
302.505005,-78,-78,1.55,0,0,0,0.02,1
302.51001,-61,-61,1.46,0,0,0,0.02,1
302.515015,-60,-60,1.4,0,0,0,0.02,1
302.519989,-67,-67,1.4,0,0,0,0.02,1
302.524994,-75,-75,1.25,0,0,0,0.02,1
302.529999,-59,-59,1.22,0,0,0,0.02,1
302.535004,-56,-56,1.14,-2,0,0,0.02,1
302.540009,-64,-64,1.15,-2,0,0,0.02,1
302.545013,-73,-73,1.22,-2,-2,0,-0.46,1
302.549988,-112,-112,1.21,-2,-2,0,-0.46,1
302.554993,-89,-89,1.02,0,-2,0,-0.93,1
302.559998,-91,-91,0.98,0,-2,0,-0.93,1
302.565002,-83,-83,0.89,-2,-2,0,-0.46,1
302.570007,-43,-43,0.91,-2,-2,0,-0.46,1
302.575012,-39,-39,0.69,-2,-4,0,-0.93,1
302.579987,-36,-36,0.57,-2,-4,0,-0.93,1
302.584991,-13,-13,0.41,-2,-4,0,-1.41,1
302.589996,-45,-45,0.35,-2,-4,0,-1.41,1
302.595001,-59,-59,0.26,-2,-4,0,-1.41,1
302.600006,-65,-65,0.2,-2,-4,0,-1.41,1
302.605011,-65,-65,0.11,-2,-2,0,-1.41,1
302.609985,-60,-60,0.11,-2,-2,0,-1.41,1
302.61499,-61,-61,-0.06,-2,-2,0,-0.94,1
302.619995,-7,-7,-0.15,-2,-2,0,-0.94,1
302.625,-4,-4,-0.17,-2,-2,0,-0.94,1
302.630005,-17,-17,-0.14,-2,-2,0,-0.94,1
302.63501,-24,-24,-0.32,-2,-4,0,-0.94,1
302.640015,-1,-1,-0.41,-2,-4,0,-0.94,1
302.644989,4,4,-0.45,-2,-2,0,-1.41,1
302.649994,-51,-51,-0.45,-2,-2,0,-1.41,1
302.654999,-73,-73,-0.49,-2,-2,0,-0.94,1
302.660004,-41,-41,-0.52,-2,-2,0,-0.94,1
302.665009,-47,-47,-0.52,-2,-2,0,-0.94,1
